parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,0,0,3827,4643,59,61,17.0,2.0,0.11765,13.0,3.61687,8.5,0.06641,0.19101,0.00781,0.02247,38.41176,4.83929,30.0,44.0,8.61728,8.38272,2.85561,1.69492,1.97278
1,2,0,0,4643,5182,61,159,54.0,8.0,0.14815,19.0,3.98129,7.71429,0.21094,0.60674,0.02482,0.08989,36.7037,4.58512,29.0,43.0,24.75309,29.24691,5.87848,4.13608,2.18155
2,3,0,0,5182,5502,159,113,43.0,5.0,0.11628,19.0,4.03384,10.75,0.08398,0.2638,0.01527,0.03067,36.44186,6.86177,25.0,39.0,20.97531,22.02469,4.80901,2.96353,2.05003
1,3,0,0,4643,5502,61,113,3.0,2.0,0.66667,2.0,0.9183,0.75,0.01172,0.03371,0.00138,0.02247,73.66667,0.4714,73.0,88.0,1.07407,1.92593,1.85833,1.43686,2.7931
3,4,0,0,5502,3090,113,109,3.0,3.0,1.0,1.0,-0.0,0.5,0.00586,0.0184,0.00123,0.0184,74,0.0,74.0,87.0,1.58025,1.41975,1.12941,1.48994,1.89844
4,5,0,0,3090,2414,109,51,26.0,5.0,0.19231,17.0,3.84027,13.0,0.10156,0.28571,0.00967,0.05495,34.38462,6.52261,26.0,41.0,12.09877,13.90123,3.99653,3.33338,2.14898
7,8,0,0,4597,2162,88,122,62.0,7.0,0.1129,21.0,4.11299,12.4,0.12109,0.34254,0.02549,0.03867,37.45161,5.69855,29.0,43.0,28.17284,33.82716,6.37309,2.73737,2.2007
8,10,0,0,2162,5670,122,146,10.0,4.0,0.4,4.0,1.84644,2.0,0.01562,0.04405,0.00391,0.01762,72.3,1.00499,71.0,86.0,3.50617,6.49383,3.46804,2.62502,2.85211
10,11,39,1,5670,5623,146,86,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00787,0.00039,0.00787,72,0.0,72.0,86.0,0.49383,0.50617,0.7203,0.7203,2.025
11,12,0,0,5623,6060,86,68,35.0,3.0,0.08571,17.0,3.9713,11.66667,0.09115,0.28226,0.01519,0.02419,36.45714,4.86,28.0,42.0,18.2963,16.7037,3.90509,2.49511,1.91296
12,13,0,0,6060,2091,68,104,46.0,6.0,0.13043,19.0,3.94957,9.2,0.11979,0.37097,0.01997,0.04839,37.67391,5.67241,29.0,43.0,20.50617,25.49383,5.6298,4.51458,2.24323
11,13,0,0,5623,2091,86,104,4.0,3.0,0.75,2.0,0.81128,0.8,0.01042,0.0315,0.00174,0.02362,73.5,0.86603,72.0,87.0,1.45679,2.54321,2.10709,1.41111,2.74576
13,14,0,0,2091,3893,104,49,24.0,4.0,0.16667,13.0,3.50163,8.0,0.0625,0.20339,0.00937,0.0339,34.79167,5.58256,26.0,41.0,10.1358,13.8642,4.35477,2.81374,2.36784
13,15,0,0,2091,3066,104,58,8.0,5.0,0.625,2.0,0.95443,2.66667,0.02083,0.06957,0.00313,0.04348,73.375,0.48412,73.0,86.0,2.62963,5.37037,3.31175,2.61425,3.04225
14,15,0,0,3893,3066,49,58,26.0,4.0,0.15385,14.0,3.5843,8.66667,0.06771,0.22609,0.01128,0.03478,38.53846,4.67589,31.0,43.0,12.7284,13.2716,3.71995,2.61425,2.04268
14,16,0,0,3893,5374,49,117,3.0,3.0,1.0,1.0,-0.0,0.6,0.00781,0.02542,0.0013,0.02542,74,0.0,74.0,89.0,0.64198,2.35802,2.94299,2.94299,4.67308
15,16,0,0,3066,5374,58,117,47.0,5.0,0.10638,20.0,4.13695,9.4,0.1224,0.4087,0.0204,0.04348,39.3617,5.2122,29.0,44.0,22.74074,24.25926,5.08716,2.81666,2.06678
