det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,30,49,3827,3757,59,119,1485
0,40,27,3827,3859,59,76,1980
1,7,42,4643,4597,61,88,315
1,34,23,4643,4681,61,155,1620
2,25,39,5182,5135,159,86,1125
2,56,55,5182,5286,159,130,2610
2,66,1,5182,5046,159,137,3060
3,54,46,5502,5569,113,78,2475
3,58,28,5502,5447,113,83,2655
4,15,34,3090,3066,109,58,540
4,35,14,3090,3185,109,58,1485
4,36,8,3090,3032,109,66,1575
4,47,56,3090,3143,109,102,2070
5,23,16,2414,2449,51,137,855
5,57,51,2414,2329,51,154,2475
7,34,4,4597,4681,88,155,1305
7,65,9,4597,4546,88,60,2745
8,13,33,2162,2091,122,104,270
8,44,54,2162,2230,122,102,1755
8,61,1,2162,2283,122,103,2520
10,11,39,5670,5623,146,86,90
10,19,47,5670,5733,146,47,450
10,38,43,5670,5773,146,151,1395
10,59,44,5670,5753,146,44,2340
11,54,24,5623,5569,86,78,2025
12,17,8,6060,5973,68,95,225
12,29,37,6060,6091,68,100,810
12,55,23,6060,6033,68,50,2025
13,22,21,2091,2055,104,57,405
13,49,13,2091,1974,104,130,1710
14,40,42,3893,3859,49,76,1260
14,51,23,3893,3919,49,149,1755
15,36,32,3066,3032,58,66,1035
16,56,42,5374,5286,117,130,1890
16,58,44,5374,5447,117,83,1980
16,68,42,5374,5423,117,42,2430
17,32,27,5973,5938,95,62,720
17,55,35,5973,6033,95,50,1800
17,72,23,5973,5852,95,144,2565
18,23,63,2523,2449,74,137,225
18,67,43,2523,2554,74,100,2295
19,38,7,5733,5773,47,151,945
19,59,27,5733,5753,47,44,1890
20,63,50,5019,4954,50,131,2025
20,66,23,5019,5046,50,137,2160
21,31,38,2896,2941,83,51,495
21,70,20,2896,2863,83,53,2295
21,74,27,2896,2804,83,119,2475
22,49,49,2055,1974,57,130,1305
23,57,34,2449,2329,137,154,1620
23,67,32,2449,2554,137,100,2070
24,27,46,3564,3494,128,116,135
24,41,75,3564,3617,128,85,855
24,45,29,3564,3663,128,147,1035
25,66,48,5135,5046,86,137,1935
26,33,52,4238,4196,78,94,360
26,52,34,4238,4282,78,154,1260
27,28,19,3494,3456,116,57,45
27,62,14,3494,3359,116,149,1665
28,62,52,3456,3359,57,149,1620
30,40,17,3757,3859,119,76,495
30,45,53,3757,3663,119,147,720
32,72,58,5938,5852,62,144,1845
33,52,8,4196,4282,94,154,900
34,42,73,4681,4763,155,92,405
34,69,21,4681,4815,155,92,1620
35,47,58,3185,3143,58,102,585
35,60,26,3185,3217,58,114,1170
37,70,21,2740,2863,144,53,1485
37,73,40,2740,2656,144,124,1620
37,74,80,2740,2804,144,119,1665
38,59,24,5773,5753,151,44,945
38,72,72,5773,5852,151,144,1530
39,67,52,2602,2554,88,100,1260
39,73,34,2602,2656,88,124,1530
40,51,16,3859,3919,76,149,495
41,45,39,3617,3663,85,147,180
42,69,40,4763,4815,92,92,1215
43,52,13,4423,4282,61,154,405
43,75,37,4423,4447,61,149,1440
44,57,3,2230,2329,102,154,585
44,61,49,2230,2283,102,103,765
46,60,5,3326,3217,76,114,630
46,62,43,3326,3359,76,149,720
47,60,28,3143,3217,102,114,585
49,53,28,1974,1914,130,88,180
50,51,70,3998,3919,129,149,45
57,61,57,2329,2283,154,103,180
58,68,18,5447,5423,83,42,450
63,66,39,4954,5046,131,137,135
63,71,38,4954,4877,131,115,360
65,75,50,4546,4447,60,149,450
69,71,30,4815,4877,92,115,90
70,74,53,2863,2804,53,119,180
