parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
1,2,0,0,4164,4291,97,70,25.0,3.0,0.12,12.0,3.48307,8.33333,0.0651,0.20492,0.01028,0.02459,36.72,4.82924,29.0,42.0,10.03704,14.96296,4.72297,3.56635,2.49077
2,3,0,0,4291,3903,70,63,43.0,4.0,0.09302,18.0,4.01861,14.33333,0.11198,0.35246,0.01866,0.03279,37.37209,5.05791,28.0,43.0,18.35802,24.64198,5.75125,2.94299,2.3423
1,3,0,0,4164,3903,97,63,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.0155,0.00082,0.0155,72,0.0,72.0,87.0,0.7284,1.2716,1.48994,1.48994,2.74576
3,4,0,0,3903,4041,63,159,79.0,8.0,0.10127,21.0,4.2616,11.28571,0.20573,0.6124,0.03429,0.06202,38.27848,5.6298,29.0,42.0,34.5679,44.4321,7.55719,5.30723,2.28536
2,4,0,0,4291,4041,70,159,3.0,2.0,0.66667,2.0,0.9183,0.42857,0.00781,0.02459,0.0013,0.01639,73.66667,0.4714,73.0,87.0,2.18519,0.81481,0.55121,0.35321,1.37288
4,5,0,0,4041,4227,159,94,10.0,4.0,0.4,5.0,2.12193,2.5,0.01953,0.05917,0.00355,0.02367,71.7,1.61555,70.0,84.0,3.97531,6.02469,3.02169,3.74152,2.51553
5,6,0,0,4227,4351,94,158,50.0,6.0,0.12,18.0,3.95179,8.33333,0.09766,0.29586,0.02056,0.0355,37.72,5.593,29.0,42.0,23.5679,26.4321,5.44467,2.55411,2.12153
6,7,4,1,4351,4505,158,153,82.0,8.0,0.09756,23.0,4.27754,13.66667,0.10677,0.30483,0.03051,0.02974,37.04878,6.01198,26.0,41.0,41.16049,40.83951,6.36561,3.4494,1.9922
5,7,0,0,4227,4505,94,153,2.0,1.0,0.5,2.0,1.0,0.33333,0.00391,0.01183,0.00082,0.00592,73.5,0.5,73.0,88.0,1.65432,0.34568,0.26876,0.20515,1.20896
7,8,0,0,4505,4117,153,45,27.0,3.0,0.11111,17.0,3.93027,9.0,0.07031,0.23894,0.01004,0.02655,34.2963,5.68178,24.0,39.0,13.33333,13.66667,3.74277,2.96353,2.025
6,8,0,0,4351,4117,158,45,4.0,2.0,0.5,3.0,1.5,1.33333,0.01042,0.0354,0.00149,0.0177,73,0.70711,72.0,85.0,2.25926,1.74074,1.15811,0.69411,1.77049
8,9,0,0,4117,3957,45,99,40.0,4.0,0.1,18.0,3.95869,8.0,0.10417,0.35398,0.01736,0.0354,37.525,5.10875,28.0,43.0,18.71605,21.28395,4.91977,2.23505,2.1372
7,9,0,0,4505,3957,153,99,9.0,3.0,0.33333,3.0,1.58496,1.8,0.01406,0.04091,0.00335,0.01364,72.33333,1.24722,71.0,84.0,3.48148,5.51852,2.95761,2.73737,2.58511
9,10,0,0,3957,4139,99,61,26.0,5.0,0.19231,14.0,3.56161,8.66667,0.06771,0.26263,0.01016,0.05051,35.46154,5.93056,26.0,41.0,10.18519,15.81481,4.95541,3.0327,2.55273
10,11,0,0,4139,4424,61,48,18.0,2.0,0.11111,14.0,3.72548,6.0,0.04688,0.18182,0.00781,0.0202,36.5,5.14512,29.0,43.0,8.54321,9.45679,3.23544,1.93793,2.10694
9,11,0,0,3957,4424,99,48,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00862,0.00039,0.00862,74,0.0,74.0,86.0,0.55556,0.44444,0.59628,0.59628,1.8
11,12,26,1,4424,4446,48,89,55.0,27.0,0.49091,16.0,2.87424,11.0,0.14323,0.47414,0.02387,0.23276,38.45455,3.98551,29.0,43.0,14.34568,40.65432,10.73362,26.55714,3.83391
12,13,0,0,4446,3865,89,87,44.0,4.0,0.09091,20.0,4.18069,11.0,0.08594,0.26829,0.01719,0.02439,36.93182,5.7934,27.0,41.0,22.7037,21.2963,4.46947,2.85774,1.93801
11,13,0,0,4424,3865,48,87,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00862,0.00043,0.00862,73,0.0,73.0,88.0,0.40741,0.59259,0.92841,0.92841,2.45455
13,14,0,0,3865,4016,87,50,16.0,3.0,0.1875,10.0,3.20282,5.33333,0.04167,0.13333,0.00658,0.025,33.875,5.21866,27.0,42.0,6.11111,9.88889,4.00025,2.55344,2.61818
12,14,0,0,4446,4016,89,50,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01667,0.00078,0.00833,72,1.0,71.0,86.0,0.93827,1.06173,1.0961,0.96245,2.13158
14,15,0,0,4016,5111,50,54,20.0,4.0,0.2,10.0,3.08418,10.0,0.07812,0.19802,0.00868,0.0396,35.95,3.20117,31.0,44.0,9.75309,10.24691,3.28112,2.73737,2.05063
15,16,0,0,5111,4602,54,77,18.0,3.0,0.16667,11.0,3.26633,6.0,0.07031,0.17822,0.00827,0.0297,37.77778,4.77907,29.0,43.0,7.18519,10.81481,4.0346,2.96353,2.50515
14,16,0,0,4016,4602,50,77,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00862,0.00043,0.00862,74,0.0,74.0,88.0,0.32099,0.67901,1.19849,1.19849,3.11538
16,17,11,1,4602,4668,77,93,52.0,13.0,0.25,17.0,3.69332,10.4,0.13542,0.44828,0.02257,0.11207,37.86538,5.12171,28.0,43.0,20.19753,31.80247,7.07639,9.88984,2.57457
15,17,0,0,5111,4668,54,93,1.0,1.0,1.0,1.0,-0.0,0.2,0.00391,0.0099,0.00046,0.0099,74,0.0,74.0,88.0,0.38272,0.61728,0.99781,0.99781,2.6129
17,18,36,1,4668,4725,93,138,92.0,33.0,0.3587,21.0,3.53298,15.33333,0.14375,0.46,0.03594,0.165,39.38043,5.01268,27.0,41.0,28.14815,63.85185,12.03507,29.73321,3.26842
18,19,0,0,4725,5146,138,40,36.0,6.0,0.16667,18.0,3.91938,12.0,0.09375,0.33962,0.01339,0.0566,35.25,5.47913,26.0,40.0,14.60494,21.39506,5.5984,2.73737,2.46492
17,19,0,0,4668,5146,93,40,5.0,3.0,0.6,3.0,1.37095,1.66667,0.01302,0.04717,0.00195,0.0283,73.4,0.8,72.0,86.0,2.2963,2.7037,1.78421,2.55344,2.17742
19,20,0,0,5146,4835,40,83,20.0,4.0,0.2,13.0,3.48418,10.0,0.07812,0.23256,0.00868,0.04651,36.75,4.29971,30.0,45.0,9.23457,10.76543,3.54261,3.33338,2.16578
