parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,45.0,5.0,0.11111,16.0,3.82311,11.25,0.08789,0.24324,0.01758,0.02703,36.11111,4.8727,28.0,42.0,20.38272,24.61728,5.45267,2.66164,2.20775
1,2,35.0,6.0,0.17143,15.0,3.60402,11.66667,0.09115,0.24306,0.01439,0.04167,36.17143,4.35225,29.0,42.0,15.4321,19.5679,4.98117,4.13608,2.268
0,2,3.0,2.0,0.66667,2.0,0.9183,1.0,0.00781,0.02083,0.00117,0.01389,73.33333,0.94281,72.0,87.0,1.77778,1.22222,0.91667,0.77506,1.6875
2,3,45.0,6.0,0.13333,16.0,3.84432,11.25,0.11719,0.3125,0.01953,0.04167,39.31111,4.97917,30.0,43.0,21.82716,23.17284,4.95999,2.81666,2.06165
1,3,4.0,3.0,0.75,2.0,0.81128,1.0,0.00781,0.02162,0.00164,0.01622,72.75,0.43301,72.0,87.0,2.08642,1.91358,1.32479,1.6031,1.91716
3,4,60.0,7.0,0.11667,19.0,3.91898,10.0,0.11719,0.32432,0.02467,0.03784,36.53333,4.99155,29.0,41.0,24.17284,35.82716,7.287,4.2307,2.48212
4,5,34.0,4.0,0.11765,15.0,3.76336,17.0,0.13281,0.38636,0.01265,0.04545,39.38235,4.76516,29.0,41.0,16.59259,17.40741,4.27343,2.55411,2.04911
3,5,3.0,2.0,0.66667,2.0,0.9183,1.5,0.01172,0.03409,0.00123,0.02273,73.66667,0.4714,73.0,87.0,2.14815,0.85185,0.58121,0.48712,1.39655
5,6,29.0,4.0,0.13793,15.0,3.63351,9.66667,0.11328,0.32955,0.01333,0.04545,37.75862,4.19075,29.0,44.0,14.77778,14.22222,3.69967,3.07937,1.96241
4,6,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01481,0.00074,0.00741,73.5,0.5,73.0,86.0,1.11111,0.88889,0.84327,0.69411,1.8
5,7,4.0,4.0,1.0,1.0,-0.0,0.8,0.01562,0.04545,0.00184,0.04545,74,0.0,74.0,89.0,0.7037,3.2963,3.92945,3.92945,5.68421
6,7,53.0,6.0,0.11321,20.0,3.99493,10.6,0.13802,0.39259,0.023,0.04444,38.5283,5.47931,28.0,43.0,22.97531,30.02469,6.26394,3.92945,2.30682
7,8,28.0,5.0,0.17857,16.0,3.76738,14.0,0.10938,0.27723,0.01094,0.0495,35.60714,5.38078,27.0,41.0,15.87654,12.12346,3.04263,2.38909,1.76361
8,9,39.0,6.0,0.15385,18.0,3.97042,7.8,0.15234,0.38614,0.01792,0.05941,39.4359,5.28566,29.0,44.0,20.4321,18.5679,4.10777,2.09967,1.90876
7,9,9.0,4.0,0.44444,3.0,1.53049,1.8,0.01406,0.03846,0.00352,0.01709,73.22222,0.78567,72.0,86.0,4.83951,4.16049,1.89123,1.69492,1.85969
9,10,43.0,4.0,0.09302,18.0,4.00721,10.75,0.08398,0.21939,0.0168,0.02041,35.2093,5.35944,27.0,41.0,21.25926,21.74074,4.7152,3.62957,2.02265
8,10,1.0,1.0,1.0,1.0,-0.0,0.25,0.00391,0.0099,0.00046,0.0099,74,0.0,74.0,89.0,0.71605,0.28395,0.33556,0.33556,1.39655
10,11,43.0,3.0,0.06977,21.0,4.26256,10.75,0.08398,0.26061,0.01768,0.01818,35.67442,5.69668,26.0,41.0,24.40741,18.59259,3.76339,2.43909,1.76176
9,11,6.0,3.0,0.5,3.0,1.45915,1.5,0.01172,0.03636,0.00234,0.01818,72.66667,1.49071,70.0,85.0,2.32099,3.67901,2.41488,2.45313,2.58511
11,12,53.0,7.0,0.13208,19.0,4.03376,8.83333,0.10352,0.32121,0.02179,0.04242,37.73585,5.04751,28.0,42.0,27.91358,25.08642,4.74822,1.97657,1.89872
10,12,2.0,2.0,1.0,1.0,-0.0,0.33333,0.00391,0.0102,0.00082,0.0102,74,0.0,74.0,86.0,1.39506,0.60494,0.51217,0.40825,1.43363
11,13,3.0,2.0,0.66667,2.0,0.9183,0.75,0.00586,0.01818,0.00123,0.01212,73.66667,0.4714,73.0,88.0,1.98765,1.01235,0.71806,0.50794,1.50932
12,13,54.0,6.0,0.11111,19.0,4.05769,13.5,0.10547,0.27411,0.02009,0.03046,35.61111,5.35557,26.0,41.0,21.98765,32.01235,6.82697,4.4894,2.45592
13,14,29.0,3.0,0.10345,17.0,3.92627,14.5,0.11328,0.33721,0.01192,0.03488,35.93103,5.45787,27.0,42.0,14.25926,14.74074,3.90365,1.86383,2.03377
12,14,5.0,3.0,0.6,3.0,1.37095,2.5,0.01953,0.05814,0.00186,0.03488,72.4,0.8,71.0,86.0,2.59259,2.40741,1.49514,1.51732,1.92857
14,15,53.0,6.0,0.11321,18.0,3.96096,8.83333,0.20703,0.61628,0.02436,0.06977,37.88679,5.41716,29.0,43.0,25.97531,27.02469,5.3025,2.77655,2.0404
13,15,1.0,1.0,1.0,1.0,-0.0,0.16667,0.00195,0.00508,0.00041,0.00508,71,0.0,71.0,86.0,0.40741,0.59259,0.92841,0.92841,2.45455
15,16,6.0,3.0,0.5,3.0,1.45915,1.2,0.00937,0.02655,0.00223,0.01327,73.33333,0.74536,72.0,86.0,3.45679,2.54321,1.36787,1.51732,1.73571
16,17,50.0,7.0,0.14,21.0,4.18314,12.5,0.09766,0.3012,0.01953,0.04217,34.86,6.13192,26.0,41.0,21.40741,28.59259,6.17976,2.81666,2.33564
17,18,53.0,5.0,0.09434,19.0,4.1169,8.83333,0.10352,0.31928,0.02179,0.03012,38.4717,5.36095,30.0,41.0,26.79012,26.20988,5.06381,3.41875,1.97834
16,18,6.0,3.0,0.5,4.0,1.79248,1.0,0.00937,0.02655,0.00234,0.01327,73,1.1547,71.0,85.0,3.85185,2.14815,1.09453,0.59628,1.55769
18,19,48.0,7.0,0.14583,18.0,3.98005,12.0,0.09375,0.2963,0.01786,0.04321,37.72917,6.48312,27.0,41.0,21.67901,26.32099,5.65304,3.56635,2.21412
17,19,4.0,3.0,0.75,2.0,0.81128,1.0,0.00781,0.02469,0.00164,0.01852,73.75,0.43301,73.0,87.0,1.28395,2.71605,2.39697,3.27957,3.11538
19,20,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01527,0.00082,0.01527,73,0.0,73.0,87.0,1.12346,0.87654,0.82698,0.66865,1.78022
20,21,47.0,6.0,0.12766,17.0,3.84387,9.4,0.1224,0.35878,0.0204,0.0458,40.12766,5.33402,29.0,43.0,22.83951,24.16049,5.05548,3.38886,2.05784
21,22,70.0,7.0,0.1,22.0,4.24693,10.0,0.10938,0.31532,0.02734,0.03153,36.41429,6.58677,27.0,40.0,29.65432,40.34568,7.40889,4.19107,2.36053
20,22,2.0,2.0,1.0,1.0,-0.0,0.28571,0.00521,0.01527,0.00087,0.01527,74,0.0,74.0,87.0,0.34568,1.65432,2.81374,2.81374,5.78571
22,23,31.0,4.0,0.12903,17.0,3.93775,10.33333,0.08073,0.24603,0.01101,0.03175,37.12903,5.54595,26.0,39.0,13.08642,17.91358,4.9519,3.97922,2.36887
21,23,5.0,2.0,0.4,4.0,1.92193,1.66667,0.01302,0.03968,0.00195,0.01587,71.8,1.16619,70.0,85.0,2.4321,2.5679,1.6466,1.57387,2.05584
23,24,50.0,6.0,0.12,18.0,3.93088,10.0,0.13021,0.39683,0.0217,0.04762,40.22,4.99716,29.0,43.0,19.60494,30.39506,6.86468,3.83334,2.55038
22,24,12.0,4.0,0.33333,4.0,1.85539,2.4,0.01875,0.06417,0.00426,0.02139,71.75,1.16369,69.0,84.0,4.2963,7.7037,3.71666,2.61425,2.7931
