det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
1,4,36,4164,4041,97,159,135
1,5,34,4164,4227,97,94,225
1,10,36,4164,4139,97,61,450
2,5,30,4291,4227,70,94,180
2,6,10,4291,4351,70,158,225
3,9,9,3903,3957,63,99,315
3,13,49,3903,3865,63,87,495
4,8,45,4041,4117,159,45,225
4,9,15,4041,3957,159,99,270
4,10,61,4041,4139,159,61,315
4,14,25,4041,4016,159,50,495
6,7,4,4351,4505,158,153,45
6,11,48,4351,4424,158,48,225
6,12,63,4351,4446,158,89,270
7,12,30,4505,4446,153,89,225
7,16,56,4505,4602,153,77,405
7,28,19,4505,4639,153,68,990
8,10,23,4117,4139,45,61,90
9,14,40,3957,4016,99,50,225
11,12,26,4424,4446,48,89,45
15,19,19,5111,5146,54,40,180
15,27,54,5111,5056,54,134,585
16,17,11,4602,4668,77,93,45
16,28,40,4602,4639,77,68,585
17,18,36,4668,4725,93,138,45
17,28,39,4668,4639,93,68,540
18,20,28,4725,4835,138,83,90
18,29,58,4725,4805,138,66,540
19,24,15,5146,5171,40,114,270
19,27,40,5146,5056,40,134,405
20,22,43,4835,4875,83,65,135
20,29,36,4835,4805,83,66,450
21,23,43,4945,5038,148,43,135
21,26,22,4945,4920,148,47,270
21,27,37,4945,5056,148,134,315
22,26,20,4875,4920,65,47,180
23,27,25,5038,5056,43,134,180
24,25,42,5171,5243,114,149,45
24,27,19,5171,5056,114,134,135
25,31,32,5243,5360,149,42,270
25,32,9,5243,5383,149,113,315
25,37,41,5243,5307,149,41,585
25,38,57,5243,5329,149,57,630
30,36,44,5568,5455,121,157,315
30,39,26,5568,5546,121,48,450
30,40,58,5568,5631,121,129,495
30,44,5,5568,5684,121,62,675
31,32,19,5360,5383,42,113,45
31,38,26,5360,5329,42,57,360
32,36,41,5383,5455,113,157,225
32,38,3,5383,5329,113,57,315
33,41,21,6009,5896,130,134,405
33,60,49,6009,6090,130,155,1260
34,35,23,5790,5813,46,127,90
34,42,46,5790,5709,46,132,405
35,41,44,5813,5896,127,134,270
35,42,28,5813,5709,127,132,315
35,43,59,5813,5873,127,59,360
36,39,48,5455,5546,157,48,135
37,38,19,5307,5329,41,57,45
40,42,51,5631,5709,129,132,90
40,44,62,5631,5684,129,62,180
41,43,36,5896,5873,134,59,90
42,44,37,5709,5684,132,62,90
45,53,27,6686,6625,82,88,360
45,56,30,6686,6738,82,54,495
46,49,51,6423,6374,51,112,135
46,52,29,6423,6445,51,54,270
46,59,19,6423,6316,51,126,585
47,48,32,6771,6835,96,144,45
47,56,21,6771,6738,96,54,405
48,51,56,6835,6923,144,120,135
48,73,1,6835,6978,144,106,1170
49,52,41,6374,6445,112,54,135
49,57,10,6374,6476,112,114,360
49,58,4,6374,6244,112,134,405
49,59,68,6374,6316,112,126,450
50,58,49,6175,6244,118,134,360
50,60,70,6175,6090,118,155,450
51,73,65,6923,6978,120,106,1035
52,57,23,6445,6476,54,114,225
53,55,61,6625,6573,88,113,90
54,55,35,6542,6573,66,113,45
54,57,48,6542,6476,66,114,135
55,57,17,6573,6476,113,114,90
58,59,62,6244,6316,134,126,45
58,60,1,6244,6090,134,155,90
61,69,81,7437,7493,137,87,405
61,70,52,7437,7367,137,122,450
61,72,30,7437,7544,137,111,540
62,68,39,7125,7189,103,139,315
62,75,45,7125,7059,103,111,630
63,64,36,7784,7908,160,61,45
63,66,11,7784,7667,160,128,135
63,71,44,7784,7755,160,73,405
66,71,40,7667,7755,128,73,270
66,74,70,7667,7612,128,125,405
67,68,45,7283,7189,134,139,90
67,70,50,7283,7367,134,122,180
69,72,36,7493,7544,87,111,135
72,74,43,7544,7612,111,125,90
73,75,25,6978,7059,106,111,90
