episode,iou,target_visible,raw_m,batches_det,batches_true,m_current,m_fix_span,m_fix_series,m_fix_both,m_ideal_own_mass,err_current,err_fix_span,err_fix_series,err_fix_both,err_own_mass,m_saturation,err_saturation,m_integrate,win_len,err_integrate
48,0.4,115,120,5,2,114.0,58.0,125.0,69.0,116,0.0087,0.4957,0.087,0.4,0.0087,192.2,0.6711,117.0,6,0.0174
49,0.5,87,90,4,2,74.0,66.0,80.0,64.0,87,0.1494,0.2414,0.0805,0.2644,0.0,130.1,0.4959,88.0,7,0.0115
50,0.5,89,89,4,2,75.0,61.0,69.0,58.0,89,0.1573,0.3146,0.2247,0.3483,0.0,135.9,0.5267,82.0,5,0.0787
51,0.667,90,91,3,2,0.0,0.0,66.0,66.0,90,1.0,1.0,0.2667,0.2667,0.0,11.8,0.8689,28.0,8,0.6889
52,0.6,152,160,5,4,119.0,99.0,123.0,105.0,154,0.2171,0.3487,0.1908,0.3092,0.0132,200.6,0.3197,140.0,7,0.0789
53,0.5,71,71,4,2,81.0,59.0,75.0,57.0,71,0.1408,0.169,0.0563,0.1972,0.0,142.3,1.0041,88.0,7,0.2394
54,1.0,73,79,2,2,54.0,54.0,51.0,51.0,72,0.2603,0.2603,0.3014,0.3014,0.0137,91.0,0.247,77.0,5,0.0548
55,0.6,148,156,5,3,121.0,82.0,134.0,91.0,149,0.1824,0.4459,0.0946,0.3851,0.0068,210.0,0.4187,132.0,11,0.1081
56,0.4,117,123,5,2,93.5,70.0,92.5,72.0,123,0.2009,0.4017,0.2094,0.3846,0.0513,164.2,0.4032,111.0,6,0.0513
57,0.4,107,110,5,2,101.0,69.0,95.0,63.0,108,0.0561,0.3551,0.1121,0.4112,0.0093,170.3,0.5912,118.0,8,0.1028
58,0.6,137,145,5,3,126.0,84.0,125.0,90.0,138,0.0803,0.3869,0.0876,0.3431,0.0073,212.4,0.5504,155.0,10,0.1314
59,0.5,117,120,4,2,81.0,62.0,83.0,66.0,117,0.3077,0.4701,0.2906,0.4359,0.0,136.5,0.167,117.0,7,0.0
60,0.5,89,89,4,2,94.0,69.0,91.0,65.0,89,0.0562,0.2247,0.0225,0.2697,0.0,158.5,0.7804,100.0,5,0.1236
61,0.333,38,44,3,1,32.0,22.0,34.0,23.0,38,0.1579,0.4211,0.1053,0.3947,0.0,62.5,0.644,42.0,6,0.1053
62,0.5,103,110,4,2,90.0,57.0,97.0,62.0,103,0.1262,0.4466,0.0583,0.3981,0.0,151.7,0.473,98.0,5,0.0485
63,0.5,47,50,2,1,42.0,28.0,45.0,30.0,47,0.1064,0.4043,0.0426,0.3617,0.0,70.8,0.5064,45.0,3,0.0426
64,0.4,86,97,5,2,96.0,56.0,103.0,60.0,88,0.1163,0.3488,0.1977,0.3023,0.0233,161.8,0.8817,107.0,8,0.2442
65,0.4,90,97,4,2,73.0,51.0,79.0,57.0,92,0.1889,0.4333,0.1222,0.3667,0.0222,123.1,0.3673,98.0,8,0.0889
66,0.5,92,96,4,3,76.0,57.0,76.0,56.0,92,0.1739,0.3804,0.1739,0.3913,0.0,131.9,0.4335,95.0,5,0.0326
67,0.333,148,160,8,3,131.0,80.0,154.0,92.0,151,0.1149,0.4595,0.0405,0.3784,0.0203,230.9,0.5604,134.0,9,0.0946
68,0.667,65,66,3,2,46.0,48.0,48.0,51.0,65,0.2923,0.2615,0.2615,0.2154,0.0,80.9,0.2448,57.0,7,0.1231
69,0.4,69,72,5,2,72.0,56.0,74.0,57.0,69,0.0435,0.1884,0.0725,0.1739,0.0,128.1,0.8567,86.0,7,0.2464
70,0.333,40,42,3,1,30.5,27.0,27.0,27.0,40,0.2375,0.325,0.325,0.325,0.0,56.4,0.4109,36.5,5,0.0875
71,0.333,62,62,3,1,51.0,31.0,54.0,34.0,62,0.1774,0.5,0.129,0.4516,0.0,88.5,0.4274,64.0,5,0.0323
72,0.667,77,80,3,3,65.0,55.0,74.0,56.0,77,0.1558,0.2857,0.039,0.2727,0.0,109.6,0.423,69.0,4,0.1039
73,0.333,60,61,3,1,52.0,33.0,57.0,36.0,60,0.1333,0.45,0.05,0.4,0.0,87.7,0.461,69.0,6,0.15
74,0.333,55,56,3,1,54.0,33.0,53.0,34.0,55,0.0182,0.4,0.0364,0.3818,0.0,91.0,0.6551,63.0,6,0.1455
75,0.6,131,140,5,3,118.0,86.0,123.0,89.0,131,0.0992,0.3435,0.0611,0.3206,0.0,204.8,0.5631,127.0,7,0.0305
