det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,2,46,7764,7799,81,82,32
0,3,39,7764,7806,81,76,57
0,5,30,7764,7815,81,53,212
2,3,75,7799,7806,82,76,25
2,5,53,7799,7815,82,53,180
3,5,53,7806,7815,76,53,155
6,7,35,4727,4806,114,73,57
6,10,39,4727,4802,114,88,200
7,10,73,4806,4802,73,88,143
7,73,38,4806,4881,73,58,3048
9,30,48,844,737,144,128,1014
10,73,49,4802,4881,88,58,2905
11,12,53,1539,1600,114,82,20
11,15,60,1539,1593,114,99,200
12,15,82,1600,1593,82,99,180
12,44,19,1600,1703,82,86,1555
13,14,50,3712,3761,99,78,57
13,16,45,3712,3766,99,68,102
13,17,39,3712,3772,99,80,114
13,18,30,3712,3781,99,50,212
13,19,42,3712,3769,99,69,236
14,16,68,3761,3766,78,68,45
14,17,67,3761,3772,78,80,57
14,18,50,3761,3781,78,50,155
14,19,69,3761,3769,78,69,179
14,47,28,3761,3817,78,102,1518
14,50,13,3761,3866,78,88,1574
14,51,5,3761,3874,78,90,1620
15,44,29,1593,1703,99,86,1375
16,17,62,3766,3772,68,80,12
16,18,50,3766,3781,68,50,110
16,19,65,3766,3769,68,69,134
16,47,23,3766,3817,68,102,1473
16,50,8,3766,3866,68,88,1529
17,18,50,3772,3781,80,50,98
17,19,66,3772,3769,80,69,122
17,47,41,3772,3817,80,102,1461
17,48,8,3772,3884,80,68,1481
17,49,9,3772,3883,80,78,1493
17,50,26,3772,3866,80,88,1517
17,51,18,3772,3874,80,90,1563
18,19,50,3781,3769,50,69,24
18,47,20,3781,3817,50,102,1363
18,50,5,3781,3866,50,88,1419
19,47,27,3769,3817,69,102,1339
19,50,12,3769,3866,69,88,1395
19,51,4,3769,3874,69,90,1441
20,21,49,6528,6563,84,81,20
21,61,32,6563,6623,81,117,1870
23,24,44,5580,5658,122,83,20
23,25,51,5580,5651,122,76,57
23,26,69,5580,5633,122,117,200
23,27,49,5580,5653,122,77,212
24,25,69,5658,5651,83,76,37
24,26,83,5658,5633,83,117,180
24,27,72,5658,5653,83,77,192
25,26,76,5651,5633,76,117,143
25,27,74,5651,5653,76,77,155
26,27,77,5633,5653,117,77,12
28,30,80,660,737,157,128,114
31,32,30,3116,3171,85,51,20
31,33,30,3116,3171,85,53,57
31,34,49,3116,3152,85,85,102
31,35,46,3116,3155,85,87,200
32,33,51,3171,3171,51,53,37
32,34,51,3171,3152,51,85,82
32,35,51,3171,3155,51,87,180
32,39,21,3171,3214,51,127,340
33,34,53,3171,3152,53,85,45
33,35,53,3171,3155,53,87,143
33,39,23,3171,3214,53,127,303
34,35,82,3152,3155,85,87,98
34,39,36,3152,3214,85,127,258
34,41,7,3152,3270,85,101,290
35,39,41,3155,3214,87,127,160
35,41,12,3155,3270,87,101,192
35,43,1,3155,3281,87,92,262
39,40,56,3214,3285,127,86,20
39,41,71,3214,3270,127,101,32
39,42,33,3214,3308,127,53,57
39,43,60,3214,3281,127,92,102
40,41,86,3285,3270,86,101,12
40,42,53,3285,3308,86,53,37
40,43,86,3285,3281,86,92,82
41,42,53,3270,3308,101,53,25
41,43,90,3270,3281,101,92,70
42,43,53,3308,3281,53,92,45
44,45,30,1703,1759,86,69,20
44,46,50,1703,1739,86,89,102
45,46,69,1759,1739,69,89,82
47,48,35,3817,3884,102,68,20
47,49,36,3817,3883,102,78,32
47,50,53,3817,3866,102,88,56
47,51,45,3817,3874,102,90,102
48,49,68,3884,3883,68,78,12
48,50,68,3884,3866,68,88,36
48,51,68,3884,3874,68,90,82
49,50,71,3883,3866,78,88,24
49,51,78,3883,3874,78,90,70
50,51,80,3866,3874,88,90,46
53,54,30,2139,2160,51,65,57
53,58,34,2139,2018,51,117,200
53,59,48,2139,2051,51,98,237
53,60,47,2139,2051,51,97,282
54,58,15,2160,2018,65,117,143
54,59,29,2160,2051,65,98,180
54,60,28,2160,2051,65,97,225
55,56,32,6382,6418,68,66,57
57,58,83,1961,2018,140,117,20
57,59,50,1961,2051,140,98,57
57,60,50,1961,2051,140,97,102
58,59,84,2018,2051,117,98,37
58,60,84,2018,2051,117,97,82
59,60,97,2051,2051,98,97,45
62,63,58,2863,2964,159,86,20
62,66,45,2863,2977,159,66,200
63,66,66,2964,2977,86,66,180
67,68,30,5828,5848,50,75,57
67,71,30,5828,5848,50,70,200
68,69,26,5848,5937,75,135,78
68,71,70,5848,5848,75,70,143
69,70,40,5937,6032,135,60,57
69,71,21,5937,5848,135,70,65
