parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,2,46,1,7764,7799,81,82,48.0,16.0,0.33333,18.0,3.51184,12.0,0.125,0.32877,0.02083,0.10959,25,4.86056,15.0,29.0,12.09877,35.90123,10.32141,15.71468,3.96735
0,3,39,1,7764,7806,81,76,18.0,3.0,0.16667,12.0,3.46132,4.5,0.04688,0.12329,0.00781,0.02055,48.33333,5.15321,41.0,54.0,7.40741,10.59259,3.89197,1.93793,2.43
2,3,75,1,7799,7806,82,76,93.0,68.0,0.73118,15.0,1.74402,23.25,0.18164,0.53448,0.03824,0.3908,20.24731,3.25496,7.0,22.0,9.11111,83.88889,27.79193,62.11111,10.20732
5,6,0,0,7815,4727,53,114,43.0,6.0,0.13953,21.0,4.16954,8.6,0.11198,0.32824,0.01866,0.0458,52.23256,5.22444,41.0,56.0,20.19753,22.80247,5.07379,2.81374,2.12897
6,7,35,1,4727,4806,114,73,57.0,33.0,0.57895,12.0,2.37289,14.25,0.11133,0.31844,0.02227,0.18436,51.03509,3.11175,40.0,53.0,13.08642,43.91358,12.13915,37.81265,4.35566
7,8,0,0,4806,4589,73,55,29.0,6.0,0.2069,15.0,3.58144,9.66667,0.07552,0.23577,0.01192,0.04878,66.51724,3.75656,60.0,75.0,10.77778,18.22222,5.55056,4.36508,2.69072
8,9,0,0,4589,844,55,144,64.0,8.0,0.125,19.0,4.04062,9.14286,0.16667,0.52033,0.02778,0.06504,39,4.99375,29.0,43.0,29.4321,34.5679,6.3718,4.76134,2.1745
8,10,0,0,4589,4802,55,88,80.0,45.0,0.5625,16.0,2.37688,20.0,0.20833,0.65041,0.03472,0.36585,54.7875,3.60102,50.0,63.0,11.61728,68.38272,20.06292,45.60771,6.88629
9,10,0,0,844,4802,144,88,37.0,8.0,0.21622,15.0,3.62758,9.25,0.07227,0.20556,0.01314,0.04444,10.86486,5.32288,1.0,14.0,12.17284,24.82716,7.11592,6.97365,3.03955
10,11,0,0,4802,1539,88,114,50.0,6.0,0.12,20.0,4.07327,16.66667,0.13021,0.34722,0.02056,0.04167,17.62,5.57814,8.0,23.0,23.40741,26.59259,5.49647,3.83334,2.13608
9,11,0,0,844,1539,144,114,41.0,5.0,0.12195,16.0,3.86683,13.66667,0.10677,0.28472,0.01456,0.03472,35.92683,5.68434,27.0,40.0,20.97531,20.02469,4.37232,3.48862,1.95468
8,11,0,0,4589,1539,55,114,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00813,0.00043,0.00813,74,0.0,74.0,89.0,0.82716,0.17284,0.19004,0.19004,1.20896
11,12,53,1,1539,1600,114,82,81.0,47.0,0.58025,15.0,2.47157,27.0,0.21094,0.63281,0.03516,0.36719,13.69136,3.82855,4.0,17.0,12.44444,68.55556,19.43367,50.76819,6.50893
