parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
33,35,165.0,16.0,0.09697,14.0,3.72706,55.0,0.022,0.27778,0.00347,0.02694,38.90909,3.78485,32.0,47.0,146.42,18.58,1.53548,1.66396,1.1269
35,36,253.0,20.0,0.07905,20.0,4.17842,84.33333,0.03373,0.42593,0.00562,0.03367,17.40711,5.04802,8.0,23.0,223.56,29.44,1.96898,2.35274,1.13169
34,36,182.0,22.0,0.12088,14.0,3.68954,60.66667,0.02427,0.28217,0.00383,0.03411,38.54945,3.50436,32.0,47.0,161.52,20.48,1.61145,3.33295,1.1268
36,37,719.0,58.0,0.08067,20.0,4.18728,239.66667,0.09587,1.11473,0.01598,0.08992,17.70932,4.82953,8.0,23.0,610.54,108.46,4.38947,3.63583,1.17765
35,37,476.0,53.0,0.11134,13.0,3.58804,158.66667,0.06347,0.80135,0.01058,0.08923,39.53992,3.48594,33.0,48.0,403.94,72.06,3.58539,3.96297,1.17839
37,38,780.0,55.0,0.07051,20.0,4.21714,195.0,0.104,0.61321,0.01733,0.04324,17.95769,5.24668,9.0,23.0,736.2,43.8,1.61427,2.3532,1.05949
36,38,549.0,66.0,0.12022,13.0,3.53158,137.25,0.0732,0.85116,0.0122,0.10233,40.22222,3.31714,33.0,48.0,478.36,70.64,3.22978,4.61909,1.14767
37,39,414.0,48.0,0.11594,13.0,3.60184,103.5,0.0552,0.32547,0.0092,0.03774,39.69324,3.36293,33.0,48.0,391.24,22.76,1.15067,2.75744,1.05817
38,39,742.0,57.0,0.07682,22.0,4.31365,185.5,0.0742,0.42424,0.01562,0.03259,17.28032,5.32827,7.0,22.0,662.54,79.46,3.08704,4.0705,1.11993
38,40,563.0,60.0,0.10657,14.0,3.70434,112.6,0.0563,0.3035,0.01185,0.03235,38.7762,3.66341,32.0,47.0,518.14,44.86,1.97077,3.64349,1.08658
39,40,872.0,55.0,0.06307,23.0,4.34825,174.4,0.0872,0.49857,0.01836,0.03145,17.45757,5.56307,7.0,22.0,801.74,70.26,2.48137,2.78089,1.08763
40,41,597.0,37.0,0.06198,23.0,4.34348,149.25,0.0597,0.44189,0.01194,0.02739,16.64824,5.82522,6.0,21.0,534.94,62.06,2.68324,3.36849,1.11601
39,41,376.0,38.0,0.10106,14.0,3.69515,94.0,0.0376,0.27831,0.00792,0.02813,39.06117,3.54139,32.0,47.0,334.38,41.62,2.27605,1.99637,1.12447
40,42,363.0,34.0,0.09366,15.0,3.83493,121.0,0.0484,0.28249,0.00726,0.02646,38.33058,4.09607,31.0,46.0,356.22,6.78,0.35923,2.38514,1.01903
41,42,552.0,37.0,0.06703,21.0,4.29631,184.0,0.0736,0.42957,0.01162,0.02879,17.18478,5.53728,7.0,22.0,484.9,67.1,3.04717,3.1305,1.13838
41,43,731.0,73.0,0.09986,14.0,3.67831,182.75,0.0731,0.54108,0.01539,0.05403,39.36525,3.49741,32.0,47.0,591.4,139.6,5.74043,4.61524,1.23605
42,43,850.0,56.0,0.06588,21.0,4.26164,212.5,0.11333,0.66148,0.01889,0.04358,18.21059,5.33505,8.0,23.0,849.2,0.8,0.02745,2.06474,1.00094
43,44,574.0,36.0,0.06272,21.0,4.30216,191.33333,0.07653,0.43683,0.01208,0.0274,17.27003,5.55385,7.0,22.0,525.48,48.52,2.11662,1.92089,1.09233
42,44,306.0,34.0,0.11111,13.0,3.56161,102.0,0.0408,0.23813,0.0068,0.02646,39.61438,3.26824,33.0,48.0,317.94,-11.94,-0.66963,1.59084,0.96245
