episode,iou,target_visible,raw_m,batches_det,batches_true,m_current,m_fix_span,m_fix_series,m_fix_both,m_ideal_own_mass,err_current,err_fix_span,err_fix_series,err_fix_both,err_own_mass,m_saturation,err_saturation,m_integrate,win_len,err_integrate
0,0.667,76,81,3,2,65.0,49.0,74.0,57.0,76,0.1447,0.3553,0.0263,0.25,0.0,112.4,0.4794,65.0,3,0.1447
2,0.5,78,82,4,2,67.0,55.0,64.0,53.0,79,0.141,0.2949,0.1795,0.3205,0.0128,115.9,0.4858,83.0,7,0.0641
3,0.5,76,76,4,2,66.0,58.0,63.0,57.0,76,0.1316,0.2368,0.1711,0.25,0.0,117.6,0.5477,69.0,5,0.0921
5,0.333,53,53,3,1,50.0,34.5,52.0,33.0,53,0.0566,0.3491,0.0189,0.3774,0.0,86.5,0.6318,72.0,9,0.3585
6,0.4,102,114,5,2,81.0,54.0,90.0,61.0,103,0.2059,0.4706,0.1176,0.402,0.0098,141.5,0.387,107.0,13,0.049
7,0.5,69,73,4,3,75.0,60.0,74.0,58.0,69,0.087,0.1304,0.0725,0.1594,0.0,126.3,0.8307,84.0,6,0.2174
8,0.333,54,55,3,1,46.5,28.0,56.0,33.5,54,0.1389,0.4815,0.037,0.3796,0.0,77.3,0.4315,63.0,10,0.1667
9,0.429,136,144,7,3,139.0,89.0,148.0,93.0,140,0.0221,0.3456,0.0882,0.3162,0.0294,240.4,0.7679,139.0,7,0.0221
10,0.5,87,88,4,2,72.0,59.0,71.0,57.0,87,0.1724,0.3218,0.1839,0.3448,0.0,128.0,0.4713,88.0,6,0.0115
11,0.667,108,114,3,2,63.0,58.0,71.0,61.0,108,0.4167,0.463,0.3426,0.4352,0.0,109.0,0.009,87.0,5,0.1944
12,0.5,78,82,3,2,47.0,49.0,48.0,49.0,78,0.3974,0.3718,0.3846,0.3718,0.0,83.0,0.0644,62.0,5,0.2051
13,0.4,93,99,5,2,95.0,55.0,102.0,60.0,94,0.0215,0.4086,0.0968,0.3548,0.0108,160.0,0.7204,95.0,5,0.0215
14,0.5,78,78,4,2,61.0,56.0,66.0,58.0,77,0.2179,0.2821,0.1538,0.2564,0.0128,115.9,0.4858,67.0,7,0.141
15,0.4,94,99,5,3,94.0,55.0,97.0,54.0,95,0.0,0.4149,0.0319,0.4255,0.0106,162.6,0.7297,161.0,12,0.7128
16,0.4,67,68,4,2,70.0,53.0,64.0,51.0,68,0.0448,0.209,0.0448,0.2388,0.0149,117.9,0.7596,89.0,9,0.3284
17,0.5,77,80,4,2,59.0,52.0,58.0,51.0,76,0.2338,0.3247,0.2468,0.3377,0.013,109.5,0.4217,63.0,5,0.1818
