parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,49,1,3865,3903,87,63,62.0,25.0,0.40323,11.0,2.26131,20.66667,0.16146,0.51667,0.02422,0.20833,38.66129,4.15406,27.0,41.0,8.88889,53.11111,17.81401,26.55714,6.975
1,2,26,1,3903,3940,63,40,49.0,26.0,0.53061,14.0,2.65621,16.33333,0.1276,0.44144,0.02127,0.23423,39.2449,4.09345,30.0,43.0,10.67901,38.32099,11.72657,28.30141,4.58844
0,2,12,1,3865,3940,87,40,3.0,2.0,0.66667,2.0,0.9183,1.0,0.00781,0.02703,0.00117,0.01802,73.33333,0.4714,73.0,86.0,1.37037,1.62963,1.3921,1.39765,2.18919
2,3,23,1,3940,3957,40,99,66.0,22.0,0.33333,18.0,3.55581,13.2,0.17188,0.59459,0.02865,0.1982,40.15152,4.47634,29.0,43.0,24.33333,41.66667,8.44672,22.36162,2.71233
3,4,40,1,3957,4016,99,50,58.0,32.0,0.55172,12.0,2.45937,19.33333,0.15104,0.41135,0.02266,0.22695,38.2931,3.79659,28.0,41.0,10.1358,47.8642,15.03425,36.97006,5.72229
4,5,25,1,4016,4041,50,159,102.0,30.0,0.29412,20.0,3.70467,14.57143,0.26562,0.7234,0.04427,0.21277,40.2549,4.78496,31.0,43.0,37.97531,64.02469,10.38955,27.23611,2.68596
3,5,15,1,3957,4041,99,159,5.0,3.0,0.6,3.0,1.37095,0.71429,0.00781,0.02326,0.00195,0.01395,73.4,0.8,72.0,86.0,2.7037,2.2963,1.39652,1.34376,1.84932
5,6,45,1,4041,4117,159,45,66.0,41.0,0.62121,15.0,2.34114,22.0,0.17188,0.55462,0.02344,0.34454,38.51515,4.83122,24.0,39.0,10.96296,55.03704,16.6223,47.60588,6.02027
6,7,23,1,4117,4139,45,61,33.0,22.0,0.66667,9.0,1.86675,11.0,0.08594,0.32353,0.01432,0.21569,39.81818,2.92797,30.0,43.0,4.80247,28.19753,12.86704,34.37325,6.87147
5,7,61,1,4041,4139,159,61,8.0,2.0,0.25,5.0,2.25,2.66667,0.02083,0.07843,0.00284,0.01961,72.125,1.53603,70.0,84.0,3.62963,4.37037,2.29397,1.24444,2.20408
7,8,36,1,4139,4164,61,97,68.0,37.0,0.54412,12.0,2.46785,17.0,0.17708,0.66667,0.02951,0.36275,38.35294,3.88725,29.0,43.0,14.62963,53.37037,13.95351,37.24096,4.6481
8,9,34,1,4164,4227,97,94,73.0,31.0,0.42466,16.0,3.09641,14.6,0.14258,0.47097,0.03002,0.2,38.43836,4.42281,29.0,42.0,19.18519,53.81481,12.28624,33.98611,3.80502
9,10,30,1,4227,4291,94,70,65.0,30.0,0.46154,17.0,3.07105,16.25,0.12695,0.37572,0.02539,0.17341,37.50769,4.64136,27.0,41.0,19.12346,45.87654,10.49077,31.39749,3.39897
8,10,0,0,4164,4291,97,70,1.0,1.0,1.0,1.0,-0.0,0.25,0.00195,0.00645,0.00041,0.00645,74,0.0,74.0,87.0,0.75309,0.24691,0.28453,0.28453,1.32787
10,11,32,1,4291,4329,70,56,48.0,25.0,0.52083,13.0,2.56171,16.0,0.125,0.40336,0.01974,0.21008,39.0625,3.78267,28.0,42.0,11.18519,36.81481,11.00781,27.46542,4.29139
9,11,0,0,4227,4329,94,56,3.0,1.0,0.33333,3.0,1.58496,1.0,0.00781,0.02521,0.00117,0.0084,72,0.8165,71.0,86.0,1.64198,1.35802,1.0598,0.86394,1.82707
11,12,34,1,4329,4351,56,158,95.0,33.0,0.34737,19.0,3.58635,11.875,0.2474,0.79832,0.04123,0.27731,39.75789,4.36183,30.0,43.0,31.39506,63.60494,11.35168,35.46925,3.02595
10,12,10,1,4291,4351,70,158,1.0,1.0,1.0,1.0,-0.0,0.125,0.00195,0.00578,0.00041,0.00578,74,0.0,74.0,87.0,0.7284,0.2716,0.31824,0.31824,1.37288
12,13,48,1,4351,4424,158,48,69.0,45.0,0.65217,18.0,2.3021,23.0,0.17969,0.53488,0.02344,0.34884,37.43478,4.71039,23.0,38.0,13.54321,55.45679,15.06933,51.61793,5.0948
11,13,0,0,4329,4424,56,48,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.0084,0.00043,0.0084,74,0.0,74.0,88.0,0.64198,0.35802,0.44684,0.44684,1.55769
13,14,26,1,4424,4446,48,89,56.0,26.0,0.46429,17.0,3.03359,14.0,0.14583,0.43411,0.02431,0.20155,39.625,4.04688,28.0,43.0,14.33333,41.66667,11.00564,37.3746,3.90698
12,14,63,1,4351,4446,158,89,8.0,5.0,0.625,4.0,1.54879,2.0,0.01562,0.0597,0.00272,0.03731,72.5,1.41421,69.0,83.0,3.08642,4.91358,2.79686,2.49511,2.592
14,15,30,1,4446,4505,89,153,94.0,27.0,0.28723,21.0,3.79377,15.66667,0.18359,0.70149,0.03865,0.20149,38.68085,4.92543,27.0,42.0,30.08642,63.91358,11.6522,30.24516,3.12433
13,15,0,0,4424,4505,48,153,2.0,2.0,1.0,1.0,-0.0,0.33333,0.00521,0.0155,0.00087,0.0155,74,0.0,74.0,88.0,0.75309,1.24691,1.43686,1.43686,2.65574
15,16,56,1,4505,4602,153,77,76.0,34.0,0.44737,16.0,2.40888,25.33333,0.19792,0.54676,0.02827,0.2446,38.14474,3.90581,25.0,40.0,9.51852,66.48148,21.54845,35.11111,7.98444
16,17,40,1,4602,4639,77,68,60.0,21.0,0.35,14.0,2.83222,20.0,0.15625,0.52174,0.02604,0.18261,40.33333,3.23351,29.0,43.0,11.35802,48.64198,14.43311,20.91196,5.28261
15,17,19,1,4505,4639,153,68,4.0,1.0,0.25,4.0,2.0,1.33333,0.01042,0.03478,0.00149,0.0087,72.5,1.11803,71.0,85.0,2.54321,1.45679,0.91349,1.19849,1.57282
17,18,39,1,4639,4668,68,93,62.0,31.0,0.5,16.0,2.85832,15.5,0.16146,0.53913,0.02691,0.26957,39.25806,3.95105,28.0,43.0,13.71605,48.28395,13.03732,35.15808,4.52025
16,18,11,1,4602,4668,77,93,2.0,2.0,1.0,1.0,-0.0,0.5,0.00521,0.01439,0.00087,0.01439,73,0.0,73.0,88.0,0.39506,1.60494,2.55344,2.55344,5.0625
18,19,36,1,4668,4725,93,138,90.0,30.0,0.33333,24.0,3.75012,15.0,0.17578,0.54878,0.03701,0.18293,39.66667,4.88535,27.0,42.0,30.7284,59.2716,10.69244,30.8671,2.92889
19,20,58,1,4725,4805,138,66,84.0,44.0,0.52381,16.0,2.68626,28.0,0.21875,0.68852,0.03125,0.36066,38.2619,4.15795,26.0,40.0,16.45679,67.54321,16.6498,46.0144,5.10428
18,20,0,0,4668,4805,93,66,4.0,2.0,0.5,2.0,1.0,1.33333,0.01042,0.03279,0.00164,0.01639,73.5,0.5,73.0,87.0,1.79012,2.20988,1.65168,1.26657,2.23448
19,21,28,1,4725,4835,138,83,4.0,2.0,0.5,3.0,1.5,1.0,0.00781,0.02454,0.00149,0.01227,71.25,0.82916,70.0,85.0,2.0,2.0,1.41421,1.39765,2.0
20,21,36,1,4805,4835,66,83,66.0,35.0,0.5303,16.0,2.75599,16.5,0.17188,0.54098,0.02865,0.28689,38.63636,4.14742,28.0,43.0,13.28395,52.71605,14.46369,40.15605,4.9684
21,23,15,1,4835,4903,83,40,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01852,0.00082,0.01852,74,0.0,74.0,87.0,0.88889,1.11111,1.17851,0.96245,2.25
23,24,23,1,4903,4920,40,47,46.0,21.0,0.45652,18.0,3.13773,15.33333,0.11979,0.42593,0.01997,0.19444,38.91304,4.34304,29.0,43.0,12.39506,33.60494,9.54506,24.42471,3.71116
24,25,22,1,4920,4945,47,148,81.0,22.0,0.2716,17.0,3.56134,11.57143,0.21094,0.66942,0.03516,0.18182,38.93827,4.08353,30.0,43.0,27.61728,53.38272,10.15805,23.33116,2.93295
23,25,0,0,4903,4945,40,148,1.0,1.0,1.0,1.0,-0.0,0.14286,0.0026,0.00926,0.00043,0.00926,74,0.0,74.0,88.0,0.75309,0.24691,0.28453,0.28453,1.32787
25,26,43,1,4945,5038,148,43,57.0,33.0,0.57895,12.0,2.25439,19.0,0.14844,0.53271,0.02024,0.30841,38.85965,4.01068,26.0,39.0,6.71605,50.28395,19.40316,38.15181,8.48713
24,26,0,0,4920,5038,47,43,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00935,0.00043,0.00935,73,0.0,73.0,88.0,0.34568,0.65432,1.1129,1.1129,2.89286
26,27,25,1,5038,5056,43,134,80.0,24.0,0.3,21.0,3.77406,13.33333,0.20833,0.74766,0.03472,0.2243,39.3875,4.73153,29.0,43.0,24.7284,55.2716,11.11486,28.30141,3.23515
25,27,37,1,4945,5056,148,134,12.0,3.0,0.25,5.0,2.22957,2.0,0.01562,0.04598,0.00426,0.01149,72.25,1.47902,69.0,84.0,4.55556,7.44444,3.48788,2.77655,2.63415
26,28,0,0,5038,5111,43,54,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01869,0.00087,0.01869,74,0.0,74.0,88.0,1.22222,0.77778,0.70353,1.07291,1.63636
27,28,54,1,5056,5111,134,54,78.0,46.0,0.58974,15.0,2.3519,26.0,0.20312,0.64463,0.02902,0.38017,38.78205,4.01487,27.0,40.0,15.03704,62.96296,16.23693,46.40143,5.18719
28,29,19,1,5111,5146,54,40,30.0,22.0,0.73333,9.0,1.63664,10.0,0.07812,0.32609,0.01302,0.23913,40.7,2.45153,33.0,43.0,4.32099,25.67901,12.35341,29.33333,6.94286
27,29,40,1,5056,5146,134,40,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.01087,0.00037,0.01087,72,0.0,72.0,85.0,0.45679,0.54321,0.80373,0.80373,2.18919
29,30,15,1,5146,5171,40,114,63.0,17.0,0.26984,19.0,3.78076,12.6,0.16406,0.68478,0.02734,0.18478,38.98413,5.14393,28.0,43.0,21.5679,41.4321,8.9214,17.56951,2.92101
28,30,0,0,5111,5171,54,114,3.0,2.0,0.66667,2.0,0.9183,0.6,0.00781,0.02479,0.0013,0.01653,73.66667,0.4714,73.0,88.0,1.07407,1.92593,1.85833,1.43686,2.7931
