parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,0,0,6625,5984,88,44,17.0,5.0,0.29412,10.0,3.0072,8.5,0.06641,0.20238,0.00664,0.05952,36.76471,4.60855,28.0,42.0,6.91358,10.08642,3.83606,4.13608,2.45893
1,2,0,0,5984,4424,44,48,21.0,3.0,0.14286,12.0,3.42733,10.5,0.08203,0.25,0.00965,0.03571,35.90476,4.53457,29.0,44.0,9.69136,11.30864,3.6326,2.81666,2.16688
0,2,0,0,6625,4424,88,48,4.0,2.0,0.5,3.0,1.5,2.0,0.01562,0.04396,0.00156,0.02198,72.75,0.82916,72.0,87.0,1.80247,2.19753,1.63682,1.6031,2.21918
2,3,0,0,4424,7493,48,87,51.0,5.0,0.09804,20.0,4.14029,10.2,0.19922,0.56044,0.02344,0.05495,37.78431,4.99142,29.0,43.0,24.32099,26.67901,5.40977,2.81374,2.09695
3,4,0,0,7493,4945,87,148,47.0,5.0,0.10638,19.0,4.12089,9.4,0.07344,0.22705,0.01836,0.02415,36,5.81999,27.0,42.0,22.76543,24.23457,5.07922,2.89983,2.06453
2,4,0,0,4424,4945,48,148,1.0,1.0,1.0,1.0,-0.0,0.2,0.00391,0.01099,0.00046,0.01099,74,0.0,74.0,89.0,0.65432,0.34568,0.42734,0.42734,1.5283
4,5,0,0,4945,5360,148,42,26.0,3.0,0.11538,15.0,3.79622,13.0,0.10156,0.31707,0.01016,0.03659,35.88462,5.32286,26.0,41.0,12.83951,13.16049,3.67281,1.90036,2.025
3,5,0,0,7493,5360,87,42,8.0,4.0,0.5,3.0,1.40564,4.0,0.03125,0.09756,0.00313,0.04878,73.375,0.69597,72.0,87.0,3.28395,4.71605,2.60244,1.90036,2.43609
5,6,0,0,5360,4725,42,138,50.0,7.0,0.14,17.0,3.86895,8.33333,0.19531,0.60976,0.02298,0.08537,37.4,4.41814,29.0,43.0,23.17284,26.82716,5.57295,3.07937,2.1577
4,6,0,0,4945,4725,148,138,4.0,2.0,0.5,3.0,1.5,0.66667,0.00625,0.01626,0.00156,0.00813,73,1.22474,71.0,85.0,2.79012,1.20988,0.72432,0.3712,1.43363
6,7,0,0,4725,7367,138,122,44.0,5.0,0.11364,20.0,4.13809,11.0,0.08594,0.23404,0.01637,0.0266,36.77273,6.08972,26.0,41.0,19.61728,24.38272,5.50507,3.69504,2.24292
