det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,34,27,6625,6686,88,82,1665
0,69,61,6625,6573,88,113,3330
1,57,19,5984,6009,44,130,2745
1,64,44,5984,5896,44,134,3060
2,19,48,4424,4351,48,158,855
2,29,26,4424,4446,48,89,1305
3,45,81,7493,7437,87,137,2025
3,53,36,7493,7544,87,111,2385
4,28,37,4945,5056,148,134,1170
4,46,22,4945,4920,148,47,2025
4,68,43,4945,5038,148,43,3105
5,33,26,5360,5329,42,57,1395
5,38,32,5360,5243,42,149,1620
5,60,19,5360,5383,42,113,2700
6,11,28,4725,4835,138,83,225
6,14,58,4725,4805,138,66,405
6,73,36,4725,4668,138,93,3240
7,45,52,7367,7437,122,137,1845
7,50,50,7367,7283,122,134,2070
8,53,43,7612,7544,125,111,2160
8,54,70,7612,7667,125,128,2250
9,24,56,4602,4505,77,153,765
9,59,40,4602,4639,77,68,2475
9,73,11,4602,4668,77,93,3105
10,12,23,6476,6445,114,54,90
10,15,10,6476,6374,114,112,270
10,16,48,6476,6542,114,66,315
10,69,17,6476,6573,114,113,2880
11,14,36,4835,4805,83,66,180
11,20,15,4835,4903,83,40,495
11,37,43,4835,4875,83,65,1305
12,15,41,6445,6374,54,112,180
12,42,29,6445,6423,54,51,1485
13,18,15,5146,5171,40,114,270
13,28,40,5146,5056,40,134,765
13,52,19,5146,5111,40,54,1890
15,21,68,6374,6316,112,126,315
15,42,51,6374,6423,112,51,1305
15,47,4,6374,6244,112,134,1530
16,69,35,6542,6573,66,113,2565
17,23,37,5684,5709,62,132,315
17,26,62,5684,5631,62,129,450
17,40,5,5684,5568,62,121,1125
18,28,19,5171,5056,114,134,495
18,38,42,5171,5243,114,149,990
19,24,4,4351,4505,158,153,225
19,29,63,4351,4446,158,89,450
19,44,10,4351,4291,158,70,1170
19,58,34,4351,4329,158,56,1890
20,37,37,4903,4875,40,65,810
20,46,23,4903,4920,40,47,1215
21,42,19,6316,6423,126,51,990
21,47,62,6316,6244,126,134,1215
22,34,30,6738,6686,54,82,585
22,61,21,6738,6771,54,96,1890
23,26,51,5709,5631,132,129,135
23,39,28,5709,5813,132,127,765
23,43,46,5709,5790,132,46,945
24,29,30,4505,4446,153,89,225
24,59,19,4505,4639,153,68,1710
25,50,45,7189,7283,139,134,1170
25,55,39,7189,7125,139,103,1485
26,40,58,5631,5568,129,121,675
27,72,49,3865,3903,87,63,2160
28,52,54,5056,5111,134,54,1125
28,68,25,5056,5038,134,43,1935
30,41,1,6835,6978,144,106,540
30,61,32,6835,6771,144,96,1530
31,35,15,4041,3957,159,99,225
31,70,61,4041,4139,159,61,1890
31,71,45,4041,4117,159,45,1935
33,38,57,5329,5243,57,149,225
33,60,3,5329,5383,57,113,1305
35,72,9,3957,3903,99,63,1755
36,54,40,7755,7667,73,128,855
36,74,44,7755,7784,73,160,1800
37,46,20,4875,4920,65,47,405
38,60,9,5243,5383,149,113,1080
39,43,23,5813,5790,127,46,180
39,64,44,5813,5896,127,134,1215
40,63,44,5568,5455,121,157,1125
40,66,26,5568,5546,121,48,1260
41,49,25,6978,7059,106,111,360
41,56,43,6978,7040,106,43,765
44,51,30,4291,4227,70,94,315
44,58,32,4291,4329,70,56,720
45,53,30,7437,7544,137,111,360
47,48,1,6244,6090,134,155,45
47,67,49,6244,6175,134,118,990
48,57,49,6090,6009,155,130,495
48,67,70,6090,6175,155,118,945
49,55,45,7059,7125,111,103,360
49,56,24,7059,7040,111,43,405
54,74,11,7667,7784,128,160,945
57,64,21,6009,5896,130,134,315
59,73,39,4639,4668,68,93,630
60,63,41,5383,5455,113,157,135
62,65,37,7883,7908,62,61,135
62,74,61,7883,7784,62,160,540
63,66,48,5455,5546,157,48,135
65,74,36,7908,7784,61,160,405
70,71,23,4139,4117,61,45,45
