det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,1,28,1914,1974,88,130,45
1,2,49,1974,2055,130,57,45
1,3,13,1974,2091,130,104,90
2,3,21,2055,2091,57,104,45
3,4,33,2091,2162,104,122,45
4,5,54,2162,2230,122,102,45
4,6,1,2162,2283,122,103,90
5,6,49,2230,2283,102,103,45
5,7,3,2230,2329,102,154,90
6,7,57,2283,2329,103,154,45
7,8,51,2329,2414,154,51,45
7,9,34,2329,2449,154,137,90
8,9,16,2414,2449,51,137,45
9,10,63,2449,2523,137,74,45
9,11,32,2449,2554,137,100,90
10,11,43,2523,2554,74,100,45
11,12,52,2554,2602,100,88,45
12,13,34,2602,2656,88,124,45
13,14,40,2656,2740,124,144,45
14,15,80,2740,2804,144,119,45
14,16,21,2740,2863,144,53,90
15,16,53,2804,2863,119,53,45
15,17,27,2804,2896,119,83,90
16,17,20,2863,2896,53,83,45
17,18,38,2896,2941,83,51,45
17,19,11,2896,2968,83,123,90
18,19,24,2941,2968,51,123,45
19,20,59,2968,3032,123,66,45
19,21,25,2968,3066,123,58,90
19,22,1,2968,3090,123,109,135
20,21,32,3032,3066,66,58,45
20,22,8,3032,3090,66,109,90
21,22,34,3066,3090,58,109,45
22,23,56,3090,3143,109,102,45
22,24,14,3090,3185,109,58,90
23,24,58,3143,3185,102,58,45
23,25,28,3143,3217,102,114,90
24,25,26,3185,3217,58,114,45
25,26,65,3217,3266,114,114,45
25,27,5,3217,3326,114,76,90
26,27,54,3266,3326,114,76,45
26,28,21,3266,3359,114,149,90
27,28,43,3326,3359,76,149,45
28,29,52,3359,3456,149,57,45
28,30,14,3359,3494,149,116,90
29,30,19,3456,3494,57,116,45
30,31,46,3494,3564,116,128,45
31,32,75,3564,3617,128,85,45
31,33,29,3564,3663,128,147,90
32,33,39,3617,3663,85,147,45
33,34,53,3663,3757,147,119,45
34,35,49,3757,3827,119,59,45
34,36,17,3757,3859,119,76,90
35,36,27,3827,3859,59,76,45
36,37,42,3859,3893,76,49,45
36,38,16,3859,3919,76,149,90
37,38,23,3893,3919,49,149,45
38,39,70,3919,3998,149,129,45
39,40,49,3998,4078,129,84,45
40,41,33,4078,4129,84,41,45
40,42,8,4078,4154,84,68,90
41,42,16,4129,4154,41,68,45
42,43,26,4154,4196,68,94,45
43,44,52,4196,4238,94,78,45
43,45,8,4196,4282,94,154,90
44,45,34,4238,4282,78,154,45
45,46,65,4282,4371,154,124,45
45,47,13,4282,4423,154,61,90
46,47,61,4371,4423,124,61,45
46,48,48,4371,4447,124,149,90
47,48,37,4423,4447,61,149,45
48,49,65,4447,4507,149,65,45
48,50,50,4447,4546,149,60,90
48,51,23,4447,4573,149,41,135
49,50,26,4507,4546,65,60,45
50,51,33,4546,4573,60,41,45
50,52,9,4546,4597,60,88,90
51,52,17,4573,4597,41,88,45
52,53,42,4597,4643,88,61,45
52,54,4,4597,4681,88,155,90
53,54,23,4643,4681,61,155,45
54,55,73,4681,4763,155,92,45
54,56,21,4681,4815,155,92,90
55,56,40,4763,4815,92,92,45
56,57,30,4815,4877,92,115,45
57,58,38,4877,4954,115,131,45
58,59,50,4954,5019,131,50,45
58,60,39,4954,5046,131,137,90
59,60,23,5019,5046,50,137,45
60,61,48,5046,5135,137,86,45
60,62,1,5046,5182,137,159,90
61,62,39,5135,5182,86,159,45
62,63,55,5182,5286,159,130,45
63,64,42,5286,5374,130,117,45
64,65,42,5374,5423,117,42,45
64,66,44,5374,5447,117,83,90
65,66,18,5423,5447,42,83,45
66,67,28,5447,5502,83,113,45
67,68,46,5502,5569,113,78,45
68,69,24,5569,5623,78,86,45
69,70,39,5623,5670,86,146,45
70,71,47,5670,5733,146,47,45
70,72,44,5670,5753,146,44,90
70,73,43,5670,5773,146,151,135
71,72,27,5733,5753,47,44,45
71,73,7,5733,5773,47,151,90
72,73,24,5753,5773,44,151,45
73,74,72,5773,5852,151,144,45
74,75,58,5852,5938,144,62,45
74,76,23,5852,5973,144,95,90
75,76,27,5938,5973,62,95,45
76,77,35,5973,6033,95,50,45
76,78,8,5973,6060,95,68,90
77,78,23,6033,6060,50,68,45
78,79,37,6060,6091,68,100,45
