parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,28,1,1914,1974,88,130,81.0,24.0,0.2963,20.0,3.77007,11.57143,0.21094,0.57447,0.03516,0.17021,38.2963,4.65195,28.0,42.0,28.2963,52.7037,9.90778,24.92394,2.86257
1,2,49,1,1974,2055,130,57,66.0,45.0,0.68182,15.0,2.06495,22.0,0.17188,0.51969,0.02344,0.35433,38.15152,4.87493,24.0,39.0,9.61728,56.38272,18.18108,53.28892,6.86264
0,2,0,0,1914,2055,88,57,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00787,0.00043,0.00787,72,0.0,72.0,87.0,0.28395,0.71605,1.34376,1.34376,3.52174
2,3,21,1,2055,2091,57,104,72.0,23.0,0.31944,19.0,3.65151,14.4,0.1875,0.56693,0.03125,0.1811,39.44444,5.2012,29.0,43.0,25.19753,46.80247,9.32373,22.18054,2.85742
1,3,13,1,1974,2091,130,104,5.0,2.0,0.4,3.0,1.52193,1.0,0.00781,0.02381,0.00178,0.00952,72,1.09545,70.0,84.0,2.49383,2.50617,1.587,1.1547,2.00495
3,4,33,1,2091,2162,104,122,84.0,36.0,0.42857,20.0,3.30617,14.0,0.13125,0.4,0.03281,0.17143,39.0119,5.0462,28.0,41.0,25.5679,58.4321,11.5559,35.70115,3.28537
2,4,0,0,2055,2162,57,122,1.0,1.0,1.0,1.0,-0.0,0.16667,0.0026,0.00787,0.00043,0.00787,74,0.0,74.0,88.0,0.30864,0.69136,1.24444,1.24444,3.24
4,5,54,1,2162,2230,122,102,104.0,44.0,0.42308,21.0,3.36757,20.8,0.1625,0.46637,0.03869,0.19731,37.66346,5.33604,26.0,40.0,31.44444,72.55556,12.93894,44.66558,3.30742
3,5,0,0,2091,2230,104,102,2.0,2.0,1.0,1.0,-0.0,0.4,0.00313,0.00952,0.00078,0.00952,73,0.0,73.0,86.0,1.59259,0.40741,0.32283,0.35321,1.25581
4,6,1,1,2162,2283,122,103,7.0,5.0,0.71429,3.0,1.14883,1.4,0.01094,0.03382,0.0026,0.02415,73.42857,1.04978,71.0,85.0,3.46914,3.53086,1.8957,3.04444,2.01779
5,6,49,1,2230,2283,102,103,78.0,37.0,0.47436,21.0,3.02516,15.6,0.12187,0.37681,0.03047,0.17874,39.01282,4.19858,28.0,41.0,17.91358,60.08642,14.19663,39.13015,4.35424
6,7,57,1,2283,2329,103,154,110.0,38.0,0.34545,22.0,3.52726,15.71429,0.17188,0.5314,0.04297,0.18357,38.67273,4.62033,26.0,41.0,26.59259,83.40741,16.17425,39.46381,4.13649
5,7,3,1,2230,2329,102,154,3.0,2.0,0.66667,2.0,0.9183,0.42857,0.00469,0.01345,0.00117,0.00897,73.33333,0.4714,73.0,86.0,1.33333,1.66667,1.44338,1.57387,2.25
7,8,51,1,2329,2414,154,51,76.0,38.0,0.5,17.0,2.77122,25.33333,0.19792,0.55474,0.02699,0.27737,38.71053,4.09369,26.0,39.0,16.96296,59.03704,14.33421,40.87247,4.48035
6,8,0,0,2283,2414,103,51,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.0146,0.00078,0.0073,72.5,0.5,72.0,86.0,1.24691,0.75309,0.67441,0.64388,1.60396
