param,level,mult,value,seed,f1,precision,recall,n_detected,true_episodes,c_median_rel_err,c_n,window_est,null_mean,attack_overlap_mass,n_est_pairs,pearson,pearson_large,n_pairs_scored,true_pos_pairs,est_pos_pairs
window,1x,1.0,50,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
window,1x,1.0,50,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
window,2x,2.0,100,7,0.9113924050632911,0.9230769230769231,0.9,78.0,80.0,0.13157894736842105,72.0,45,3.5,5443.0,94,0.5216869629696232,0.3073736819318092,5112.0,232.0,168.0
window,2x,2.0,100,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.0875,69.0,45,0.8,4907.0,94,0.35972272359621144,0.170618807579783,4692.0,294.0,152.0
window,2x,2.0,100,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.13085585585585585,68.0,45,2.2,4545.0,83,0.5289794977226977,0.5687786396074431,4556.0,130.0,132.0
gap,0.5x,0.5,2,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
gap,0.5x,0.5,2,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
gap,0.5x,0.5,2,9,0.8917197452229298,0.9090909090909091,0.875,77.0,80.0,0.1448906203176506,70.0,45,2.2,4570.0,85,0.5111460706929688,0.5054055301026059,4830.0,140.0,136.0
gap,1x,1.0,3,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
gap,1x,1.0,3,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
gap,1x,1.0,3,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
gap,2x,2.0,6,7,0.8903225806451613,0.92,0.8625,75.0,80.0,0.1388888888888889,69.0,45,5.2,4982.0,85,0.539398578853502,0.347095872989801,4692.0,216.0,146.0
gap,2x,2.0,6,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09433962264150944,69.0,45,0.8,4875.0,94,0.35812389316816107,0.16639277627814797,4692.0,274.0,144.0
gap,2x,2.0,6,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
min_pair_mass,0.5x,0.5,4.0,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
