parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,30,1,5023,5092,99,50,65.0,30.0,0.46154,19.0,3.11904,21.66667,0.16927,0.51587,0.02539,0.2381,12.72308,4.95366,1.0,16.0,17.77778,47.22222,11.19973,33.13489,3.65625
1,2,50,1,5092,5067,50,84,71.0,36.0,0.50704,12.0,2.41394,17.75,0.1849,0.56349,0.03082,0.28571,32.39437,3.42517,23.0,35.0,9.33333,61.66667,20.18515,38.48611,7.60714
0,2,55,1,5023,5067,99,84,36.0,19.0,0.52778,10.0,2.38325,9.0,0.07031,0.22222,0.01406,0.11728,51.05556,3.91539,40.0,53.0,6.09877,29.90123,12.10788,20.48611,5.90283
3,4,0,0,3702,5092,61,50,24.0,3.0,0.125,15.0,3.77206,8.0,0.0625,0.2087,0.01042,0.02609,10.75,5.5321,2.0,17.0,9.03704,14.96296,4.97742,2.81374,2.65574
4,5,0,0,5092,3731,50,52,26.0,4.0,0.15385,10.0,3.22872,8.66667,0.06771,0.22609,0.01128,0.03478,5.76923,3.14163,1.0,10.0,9.2963,16.7037,5.47845,4.41542,2.79681
3,5,32,1,3702,3731,61,52,56.0,32.0,0.57143,17.0,2.6153,18.66667,0.14583,0.45902,0.02431,0.2623,25.125,4.88095,14.0,29.0,11.48148,44.51852,13.13838,34.36921,4.87742
3,6,30,1,3702,3733,61,74,42.0,4.0,0.09524,19.0,4.094,10.5,0.10938,0.31579,0.01823,0.03008,49.07143,5.75861,39.0,54.0,20.06173,21.93827,4.89799,2.43909,2.09354
4,6,0,0,5092,3733,50,74,23.0,4.0,0.17391,11.0,3.30617,5.75,0.0599,0.2,0.00998,0.03478,33.26087,3.47935,27.0,35.0,11.17284,11.82716,3.53833,2.89983,2.05856
5,6,50,1,3731,3733,52,74,88.0,48.0,0.54545,17.0,2.74685,22.0,0.22917,0.72131,0.03819,0.39344,20.46591,3.52894,11.0,23.0,18.64198,69.35802,16.06389,53.11111,4.72053
6,7,0,0,3733,7268,74,89,24.0,3.0,0.125,12.0,3.45915,6.0,0.04688,0.14201,0.00987,0.01775,67.5,3.94757,61.0,75.0,11.16049,12.83951,3.84332,2.62502,2.15044
8,9,0,0,1702,5806,76,83,48.0,5.0,0.10417,14.0,3.66178,9.6,0.09375,0.28402,0.01974,0.02959,67.33333,3.65908,60.0,75.0,20.53086,27.46914,6.06236,2.89983,2.33794
9,10,0,0,5806,1702,83,72,58.0,25.0,0.43103,7.0,1.80815,19.33333,0.15104,0.45312,0.02266,0.19531,53.56897,3.09121,52.0,61.0,7.45679,50.54321,18.50917,24.4835,7.77815
10,11,0,0,1702,1139,72,88,61.0,7.0,0.11475,19.0,4.04655,15.25,0.15885,0.47656,0.02648,0.05469,18.14754,5.4407,10.0,24.0,25.17284,35.82716,7.14079,3.22734,2.42325
9,11,0,0,5806,1139,83,88,3.0,3.0,1.0,1.0,-0.0,0.75,0.00586,0.01579,0.00117,0.01579,73,0.0,73.0,87.0,1.2716,1.7284,1.53273,1.86383,2.35922
11,13,30,1,1139,1197,88,51,27.0,4.0,0.14815,15.0,3.70805,9.0,0.07031,0.23894,0.0111,0.0354,21.62963,6.3779,13.0,28.0,11.88889,15.11111,4.38254,2.55344,2.27103
10,13,0,0,1702,1197,72,51,25.0,4.0,0.16,13.0,3.49366,8.33333,0.0651,0.22124,0.01085,0.0354,48.96,4.59112,41.0,55.0,11.46914,13.53086,3.9954,2.55344,2.17976
11,15,41,1,1139,1186,88,93,47.0,8.0,0.17021,18.0,3.80394,11.75,0.0918,0.27976,0.01933,0.04762,59.80851,5.44465,49.0,64.0,17.11111,29.88889,7.22555,5.68767,2.74675
13,15,51,1,1197,1186,51,93,24.0,5.0,0.20833,11.0,3.22541,6.0,0.0625,0.21239,0.01042,0.04425,26.79167,5.10701,21.0,34.0,10.4321,13.5679,4.20075,2.98726,2.30059
15,16,0,0,1186,5859,93,81,35.0,5.0,0.14286,15.0,3.71546,8.75,0.06836,0.21739,0.01439,0.03106,33.88571,5.93667,24.0,39.0,14.20988,20.79012,5.51521,3.62957,2.46308
13,16,0,0,1197,5859,51,81,13.0,3.0,0.23077,8.0,2.87314,3.25,0.03385,0.11504,0.00564,0.02655,67.84615,3.39335,64.0,76.0,6.61728,6.38272,2.48122,2.18842,1.96455
