det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,1,30,5023,5092,99,50,20
0,2,55,5023,5067,99,84,57
0,4,30,5023,5092,99,50,200
1,2,50,5092,5067,50,84,37
1,4,50,5092,5092,50,50,180
2,4,50,5067,5092,84,50,143
3,5,32,3702,3731,61,52,32
3,6,30,3702,3733,61,74,57
5,6,50,3731,3733,52,74,25
5,63,20,3731,3799,52,50,2803
6,63,44,3733,3799,74,50,2778
8,10,72,1702,1702,76,72,143
9,16,30,5806,5859,83,81,200
11,13,30,1139,1197,88,51,32
11,15,41,1139,1186,88,93,68
13,15,51,1197,1186,51,93,36
17,19,34,3441,3515,108,54,32
23,24,78,7789,7862,151,129,20
27,28,68,776,774,76,70,94
27,30,30,776,844,76,79,205
28,30,22,774,844,70,79,111
32,33,41,6615,6662,88,72,57
32,34,30,6615,6673,88,50,69
32,35,51,6615,6652,88,96,102
32,36,30,6615,6673,88,67,114
32,73,31,6615,6565,88,61,1947
33,34,50,6662,6673,72,50,12
33,35,72,6662,6652,72,96,45
33,36,61,6662,6673,72,67,57
33,73,4,6662,6565,72,61,1890
34,35,50,6673,6652,50,96,33
34,36,50,6673,6673,50,67,45
35,36,67,6652,6673,96,67,12
35,73,14,6652,6565,96,61,1845
42,44,30,2904,2951,77,55,102
46,50,46,5432,5501,115,89,200
48,49,43,6390,6467,120,90,20
48,51,55,6390,6455,120,91,102
48,53,38,6390,6472,120,71,200
49,51,79,6467,6455,90,91,82
49,53,71,6467,6472,90,71,180
49,70,42,6467,6553,90,42,1015
49,73,30,6467,6565,90,61,1117
50,69,37,5501,5593,89,72,880
50,71,6,5501,5624,89,62,982
51,53,71,6455,6472,91,71,98
51,70,33,6455,6553,91,42,933
51,73,21,6455,6565,91,61,1035
52,68,21,4459,4391,160,66,695
53,70,30,6472,6553,71,42,835
53,73,18,6472,6565,71,61,937
55,56,79,1837,1914,156,123,20
55,57,78,1837,1915,156,110,32
56,57,110,1914,1915,123,110,12
58,59,70,4062,4137,145,120,32
58,60,47,4062,4160,145,89,56
58,66,40,4062,3966,145,96,372
59,60,89,4137,4160,120,89,24
59,67,21,4137,4276,120,160,373
60,67,13,4160,4276,89,160,349
64,66,48,3917,3966,97,96,102
67,68,45,4276,4391,160,66,20
69,71,41,5593,5624,72,62,102
70,73,30,6553,6565,42,61,102
72,74,36,2254,2298,80,56,57
