episode,m,batches,true_recent_count,true_recent_frac,own_frac_short,e1_frac_short,e2_short_excess,bg_local
33,85,4,6,0.07058823529411765,0.19753086419753085,0.28717948717948716,8.0,12.0
34,51,3,30,0.5882352941176471,0.7254901960784313,0.36363636363636365,32.0,12.0
35,53,3,2,0.03773584905660377,0.019230769230769232,0.2932330827067669,9.0,10.0
36,85,4,3,0.03529411764705882,0.2976190476190476,0.395,39.0,10.0
37,87,4,1,0.011494252873563218,0.8505747126436781,0.6075268817204301,69.0,11.0
38,128,4,1,0.0078125,0.2719298245614035,0.3439153439153439,21.0,11.0
39,123,4,4,0.032520325203252036,0.2564102564102564,0.3222748815165877,26.0,10.5
40,151,5,1,0.006622516556291391,0.323943661971831,0.3769230769230769,43.0,11.0
41,127,4,4,0.031496062992125984,0.18110236220472442,0.3116279069767442,23.0,11.0
42,86,4,59,0.686046511627907,0.7411764705882353,0.510752688172043,51.0,11.0
43,101,4,85,0.8415841584158416,0.8514851485148515,0.5208333333333334,81.0,11.0
44,53,3,0,0.0,0.018867924528301886,0.1509433962264151,0.0,10.5
45,92,4,3,0.03260869565217391,0.043478260869565216,0.2722772277227723,11.0,11.0
46,86,4,3,0.03488372093023256,0.3132530120481928,0.36363636363636365,28.0,11.0
47,69,4,32,0.463768115942029,0.6190476190476191,0.5030674846625767,40.0,10.5
48,89,4,10,0.11235955056179775,0.27586206896551724,0.34615384615384615,15.0,12.0
49,102,4,2,0.0196078431372549,0.18947368421052632,0.36318407960199006,29.0,11.0
50,68,4,33,0.4852941176470588,0.582089552238806,0.5061728395061729,38.0,11.0
51,78,4,68,0.8717948717948718,0.8831168831168831,0.5414634146341464,67.0,11.0
52,88,4,4,0.045454545454545456,0.023255813953488372,0.1875,0.0,11.0
53,90,4,4,0.044444444444444446,0.0449438202247191,0.23036649214659685,4.0,10.0
54,78,4,2,0.02564102564102564,0.3815789473684211,0.4378698224852071,30.0,11.0
55,51,3,1,0.0196078431372549,0.20408163265306123,0.29770992366412213,6.0,11.0
56,65,4,6,0.09230769230769231,0.1935483870967742,0.33136094674556216,12.0,11.0
57,68,4,2,0.029411764705882353,0.28125,0.3522727272727273,18.0,11.0
58,66,4,1,0.015151515151515152,0.09523809523809523,0.32748538011695905,12.0,11.0
59,140,5,6,0.04285714285714286,0.2781954887218045,0.3215686274509804,27.0,11.0
60,117,4,79,0.6752136752136753,0.7217391304347827,0.5734597156398105,77.0,11.0
61,98,4,6,0.061224489795918366,0.17346938775510204,0.2876712328767123,19.0,11.0
62,97,4,5,0.05154639175257732,0.061855670103092786,0.27184466019417475,16.0,10.0
63,117,4,2,0.017094017094017096,0.308411214953271,0.3640776699029126,31.0,11.0
64,159,5,15,0.09433962264150944,0.28378378378378377,0.3790322580645161,39.0,11.0
65,86,4,58,0.6744186046511628,0.7857142857142857,0.5647668393782384,65.0,11.0
66,155,5,93,0.6,0.6201550387596899,0.5159817351598174,58.0,11.0
67,101,4,3,0.0297029702970297,0.23469387755102042,0.31155778894472363,14.0,12.0
68,66,4,3,0.045454545454545456,0.84375,0.546583850931677,44.0,11.0
69,50,3,0,0.0,0.4318181818181818,0.4065040650406504,17.0,11.0
70,75,4,1,0.013333333333333334,0.14666666666666667,0.25280898876404495,1.0,11.0
71,135,5,1,0.007407407407407408,0.16153846153846155,0.2948207171314741,24.0,10.0
72,60,3,0,0.0,0.03333333333333333,0.2357142857142857,0.0,11.0
73,70,4,1,0.014285714285714285,0.028985507246376812,0.28888888888888886,8.0,11.0
74,115,4,5,0.043478260869565216,0.1743119266055046,0.30288461538461536,19.0,11.0
75,58,3,3,0.05172413793103448,0.3333333333333333,0.40145985401459855,23.5,10.5
76,100,4,6,0.06,0.25252525252525254,0.36633663366336633,30.0,11.0
77,110,4,29,0.2636363636363636,0.36893203883495146,0.4263157894736842,37.0,11.0
78,41,3,0,0.0,0.21052631578947367,0.3490566037735849,7.0,10.0
79,135,5,2,0.014814814814814815,0.34375,0.40711462450592883,48,11
