tau,window,label,E1_frac_rho,E2_excess_rho
20,80-82,narrowed (leaks fakes),0.299,0.67
20,79-83,self-calibrated,0.579,0.67
20,78-84,widened,0.642,0.67
20,75-90,very wide,0.642,0.67
