det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,3,18,3254,3227,57,45,135
0,8,16,3254,3157,57,113,405
1,4,29,2841,2803,95,67,135
1,12,32,2841,2904,95,70,540
2,5,55,3070,3013,68,112,135
2,13,40,3070,3098,68,114,540
3,6,22,3227,3203,45,46,135
3,8,43,3227,3157,45,113,270
4,10,15,2803,2771,67,47,315
5,7,32,3013,2951,112,94,135
5,13,27,3013,3098,112,114,405
6,8,46,3203,3157,46,113,135
6,13,9,3203,3098,46,114,360
7,12,23,2951,2904,94,70,225
8,13,55,3157,3098,113,114,225
9,11,49,2721,2681,49,90,90
15,21,31,3871,3926,86,141,270
15,26,45,3871,3802,86,114,495
15,29,12,3871,3744,86,139,630
17,18,45,4147,4205,103,133,45
17,20,6,4147,4014,103,139,135
17,24,64,4147,4098,103,113,315
18,24,6,4205,4098,133,113,270
18,36,80,4205,4258,133,117,810
18,45,17,4205,4321,133,55,1215
19,23,19,3449,3483,53,121,180
19,28,53,3449,3374,53,144,405
20,21,53,4014,3926,139,141,45
20,24,55,4014,4098,139,113,180
22,27,18,3604,3574,119,48,225
23,27,30,3483,3574,121,48,180
23,28,35,3483,3374,121,144,225
23,30,52,3483,3547,121,52,315
25,28,58,3319,3374,113,144,135
26,29,81,3802,3744,114,139,135
27,30,25,3574,3547,48,52,135
32,33,59,4474,4540,125,111,45
32,39,31,4474,4412,125,93,315
32,43,9,4474,4590,125,152,495
33,43,61,4540,4590,111,152,450
34,37,38,4664,4709,83,116,135
34,43,78,4664,4590,83,152,405
36,45,54,4258,4321,117,55,405
37,40,51,4709,4774,116,142,135
37,43,33,4709,4590,116,152,270
38,41,16,5000,4869,125,147,135
38,42,24,5000,4950,125,74,180
38,44,64,5000,5061,125,133,270
40,41,47,4774,4869,142,147,45
41,42,66,4869,4950,147,74,45
44,61,8,5061,5186,133,127,810
47,55,66,5845,5909,130,85,405
47,56,64,5845,5759,130,150,450
47,62,31,5845,5944,130,88,720
48,57,39,5247,5284,76,153,450
48,61,66,5247,5186,76,127,630
49,50,35,5445,5477,67,56,45
49,53,14,5445,5374,67,85,225
49,58,29,5445,5420,67,54,450
49,59,3,5445,5509,67,90,495
50,59,24,5477,5509,56,90,450
51,52,29,5680,5558,110,151,45
51,56,31,5680,5759,110,150,270
52,59,41,5558,5509,151,90,360
53,57,63,5374,5284,85,153,180
53,58,39,5374,5420,85,54,225
53,60,15,5374,5347,85,42,315
55,62,50,5909,5944,85,88,315
57,58,17,5284,5420,153,54,45
57,60,42,5284,5347,153,42,135
57,61,29,5284,5186,153,127,180
62,66,29,5944,6003,88,59,180
63,69,38,6411,6492,119,134,270
63,70,64,6411,6347,119,128,315
64,66,22,6040,6003,59,59,90
64,71,18,6040,6081,59,69,315
65,68,16,6117,6247,146,58,135
65,71,33,6117,6081,146,69,270
65,72,57,6117,6206,146,73,315
67,75,47,6777,6713,91,111,360
68,72,32,6247,6206,58,73,180
68,77,29,6247,6276,58,87,405
69,74,76,6492,6550,134,155,225
70,76,45,6347,6312,128,80,270
70,77,16,6347,6276,128,87,315
72,77,3,6206,6276,73,87,225
73,74,79,6626,6550,151,155,45
73,75,64,6626,6713,151,111,90
76,77,51,6312,6276,80,87,45
