parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
20,21,53,1,4014,3926,139,141,99.0,43.0,0.43434,22.0,3.13903,14.14286,0.15469,0.43043,0.03867,0.18696,40,4.70117,27.0,40.0,22.90123,76.09877,15.90187,44.84285,4.32291
19,21,0,0,3449,3926,53,141,1.0,1.0,1.0,1.0,-0.0,0.14286,0.00391,0.01111,0.00046,0.01111,74,0.0,74.0,88.0,0.71605,0.28395,0.33556,0.33556,1.39655
21,22,0,0,3926,3604,141,119,45.0,5.0,0.11111,21.0,4.10655,11.25,0.08789,0.24194,0.01598,0.02688,37.68889,7.46495,26.0,40.0,22.12346,22.87654,4.86367,3.69711,2.03404
20,22,0,0,4014,3604,139,119,8.0,6.0,0.75,2.0,0.81128,2.0,0.01562,0.04301,0.00313,0.03226,73.5,0.86603,72.0,86.0,2.04938,5.95062,4.15672,4.84012,3.90361
22,23,0,0,3604,3483,119,121,48.0,5.0,0.10417,20.0,4.09833,9.6,0.09375,0.25806,0.01974,0.02688,37.02083,5.20612,28.0,42.0,22.1358,25.8642,5.49732,2.23505,2.16843
21,23,0,0,3926,3483,141,121,7.0,4.0,0.57143,3.0,1.37878,1.4,0.01094,0.03017,0.00249,0.01724,72.42857,0.72843,71.0,85.0,3.1358,3.8642,2.18215,1.69492,2.23228
22,24,0,0,3604,4098,119,113,5.0,3.0,0.6,3.0,1.37095,0.83333,0.00977,0.02688,0.00206,0.01613,73.2,1.16619,71.0,86.0,2.61728,2.38272,1.47281,1.1547,1.91038
23,24,0,0,3483,4098,121,113,40.0,6.0,0.15,20.0,4.05869,6.66667,0.0625,0.17241,0.01562,0.02586,38.275,5.41289,27.0,40.0,21.55556,18.44444,3.9727,3.44611,1.85567
23,25,0,0,3483,3319,121,113,9.0,3.0,0.33333,5.0,2.19716,1.5,0.01406,0.03879,0.00352,0.01293,72.33333,1.41421,70.0,85.0,4.61728,4.38272,2.03962,1.63299,1.9492
24,25,0,0,4098,3319,113,113,67.0,7.0,0.10448,22.0,4.19199,11.16667,0.08724,0.27686,0.02493,0.02893,37.37313,6.13732,26.0,40.0,29.11111,37.88889,7.02235,5.30723,2.30153
25,26,0,0,3319,3802,113,114,50.0,4.0,0.08,22.0,4.27856,12.5,0.09766,0.23923,0.0186,0.01914,36.84,6.44782,26.0,41.0,27.40741,22.59259,4.31551,2.77655,1.82432
24,26,0,0,4098,3802,113,114,5.0,2.0,0.4,3.0,1.52193,1.25,0.00977,0.02392,0.00186,0.00957,72.4,1.35647,71.0,86.0,2.62963,2.37037,1.46174,1.46313,1.90141
25,27,0,0,3319,3574,113,48,7.0,3.0,0.42857,4.0,1.84237,2.33333,0.01823,0.05833,0.0026,0.025,71.85714,1.72615,70.0,85.0,3.11111,3.88889,2.20479,4.14443,2.25
26,27,0,0,3802,3574,114,48,26.0,5.0,0.19231,15.0,3.71545,8.66667,0.06771,0.21667,0.01069,0.04167,35.69231,6.08762,27.0,41.0,13.82716,12.17284,3.2736,4.30549,1.88036
27,28,0,0,3574,3374,48,144,96.0,30.0,0.3125,21.0,3.43068,13.71429,0.25,0.8,0.04167,0.25,40.625,5.34293,28.0,43.0,26.39506,69.60494,13.54811,30.11638,3.63704
26,28,0,0,3802,3374,114,144,3.0,2.0,0.66667,2.0,0.9183,0.42857,0.00586,0.01435,0.00123,0.00957,72.66667,0.94281,72.0,86.0,1.97531,1.02469,0.72908,1.1129,1.51875
28,29,0,0,3374,3744,144,139,127.0,36.0,0.28346,21.0,3.53438,18.14286,0.14174,0.41503,0.0451,0.11765,42.13386,6.02666,28.0,39.0,33.54321,93.45679,16.13647,34.26878,3.78616
27,29,0,0,3574,3744,48,139,1.0,1.0,1.0,1.0,-0.0,0.14286,0.0026,0.00833,0.00043,0.00833,73,0.0,73.0,88.0,0.34568,0.65432,1.1129,1.1129,2.89286
29,30,0,0,3744,3547,139,52,54.0,19.0,0.35185,20.0,3.58868,18.0,0.14062,0.46957,0.01918,0.16522,39.46296,6.93812,26.0,39.0,16.82716,37.17284,9.06192,19.20973,3.2091
28,30,0,0,3374,3547,144,52,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01739,0.00071,0.0087,73,1.0,72.0,84.0,1.50617,0.49383,0.40238,0.48712,1.32787
32,33,59,1,4474,4540,125,111,102.0,55.0,0.53922,20.0,2.86837,20.4,0.19922,0.54839,0.04194,0.2957,38.26471,4.83031,27.0,41.0,26.0,76.0,14.90483,55.41762,3.92308
