parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,0,0,1914,2804,88,119,50.0,7.0,0.14,16.0,3.80605,10.0,0.13021,0.36232,0.0217,0.05072,37.64,4.93461,30.0,43.0,22.74074,27.25926,5.71626,4.19107,2.1987
1,2,0,0,2804,2414,119,51,25.0,3.0,0.12,17.0,3.97366,8.33333,0.0651,0.21186,0.00977,0.02542,34.92,6.26048,25.0,40.0,11.64198,13.35802,3.91497,2.05738,2.1474
0,2,0,0,1914,2414,88,51,3.0,1.0,0.33333,3.0,1.58496,1.0,0.00781,0.02542,0.0013,0.00847,73,0.8165,72.0,87.0,1.59259,1.40741,1.11524,1.34376,1.88372
2,3,0,0,2414,2283,51,103,41.0,6.0,0.14634,17.0,3.86927,8.2,0.10677,0.34746,0.0178,0.05085,39.19512,5.87354,29.0,43.0,18.71605,22.28395,5.15092,3.38886,2.19063
1,3,0,0,2804,2283,119,103,10.0,4.0,0.4,4.0,1.84644,2.0,0.01562,0.04902,0.00391,0.01961,72.8,1.16619,70.0,85.0,4.75309,5.24691,2.40667,1.57387,2.1039
3,4,1,1,2283,2162,103,122,55.0,7.0,0.12727,19.0,4.00335,11.0,0.08594,0.26961,0.02148,0.03431,38.14545,5.65177,28.0,41.0,21.83951,33.16049,7.09577,3.04444,2.51837
2,4,0,0,2414,2162,51,122,1.0,1.0,1.0,1.0,-0.0,0.2,0.0026,0.00847,0.00043,0.00847,74,0.0,74.0,88.0,0.30864,0.69136,1.24444,1.24444,3.24
4,5,33,1,2162,2091,122,104,100.0,29.0,0.29,23.0,3.8833,20.0,0.15625,0.45045,0.03906,0.13063,38.56,5.84691,26.0,41.0,36.93827,63.06173,10.37594,32.54982,2.70722
3,5,0,0,2283,2091,103,104,4.0,2.0,0.5,3.0,1.5,0.8,0.00625,0.01961,0.00156,0.0098,72.75,0.82916,72.0,86.0,2.50617,1.49383,0.94362,1.19997,1.59606
5,6,0,0,2091,2230,104,102,64.0,21.0,0.32812,17.0,3.09264,16.0,0.125,0.4129,0.025,0.13548,42.85938,5.87864,27.0,42.0,13.71605,50.28395,13.57735,22.23361,4.66607
4,6,54,1,2162,2230,122,102,2.0,1.0,0.5,2.0,1.0,0.5,0.00391,0.0129,0.00078,0.00645,73,1.0,72.0,87.0,1.02469,0.97531,0.96349,1.1129,1.95181
6,7,0,0,2230,2656,102,124,59.0,6.0,0.10169,20.0,4.1436,11.8,0.11523,0.38065,0.02426,0.03871,36.37288,5.1219,27.0,42.0,26.7037,32.2963,6.24981,3.07937,2.20943
7,8,0,0,2656,2523,124,74,36.0,4.0,0.11111,19.0,4.06508,12.0,0.09375,0.28346,0.01406,0.0315,35.52778,5.69837,25.0,40.0,21.2716,14.7284,3.19341,2.01637,1.6924
6,8,0,0,2230,2523,102,74,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01575,0.00082,0.00787,72.5,0.5,72.0,86.0,1.24691,0.75309,0.67441,0.64388,1.60396
8,9,0,0,2523,2055,74,57,28.0,4.0,0.14286,15.0,3.72647,9.33333,0.07292,0.23729,0.01215,0.0339,38.21429,5.81474,29.0,43.0,12.1358,15.8642,4.5539,2.81374,2.30722
7,9,0,0,2656,2055,124,57,6.0,3.0,0.5,4.0,1.79248,2.0,0.01562,0.05085,0.00234,0.02542,72.5,1.25831,70.0,85.0,2.61728,3.38272,2.09093,1.79365,2.29245
8,10,0,0,2523,2329,74,154,2.0,1.0,0.5,2.0,1.0,0.28571,0.00521,0.01575,0.00087,0.00787,73.5,0.5,73.0,88.0,0.74074,1.25926,1.46313,1.03459,2.7
9,10,0,0,2055,2329,57,154,56.0,9.0,0.16071,19.0,3.8661,8.0,0.14583,0.47458,0.02431,0.07627,37.91071,4.64941,29.0,43.0,28.7284,27.2716,5.08809,3.78692,1.94929
10,11,0,0,2329,2554,154,100,72.0,15.0,0.20833,22.0,3.90887,18.0,0.14062,0.41379,0.02557,0.08621,39.23611,6.81806,24.0,39.0,26.95062,45.04938,8.6777,15.84888,2.67155
11,12,32,1,2554,2449,100,137,68.0,22.0,0.32353,19.0,3.44524,13.6,0.13281,0.3908,0.02796,0.12644,39.82353,4.40568,30.0,43.0,18.61728,49.38272,11.44503,22.00337,3.65252
10,12,34,1,2329,2449,154,137,7.0,2.0,0.28571,4.0,1.95021,1.4,0.01094,0.03271,0.00249,0.00935,72.57143,1.29363,70.0,85.0,4.35802,2.64198,1.26556,0.80373,1.60623
12,13,0,0,2449,2740,137,144,59.0,6.0,0.10169,22.0,4.26148,9.83333,0.09219,0.2757,0.02305,0.02804,36.33898,5.21279,26.0,40.0,27.25926,31.74074,6.07939,2.81666,2.1644
11,13,0,0,2554,2740,100,144,7.0,3.0,0.42857,3.0,1.44882,1.16667,0.01367,0.04023,0.00288,0.01724,73.28571,0.69985,72.0,87.0,2.80247,4.19753,2.5074,2.58919,2.4978
13,14,0,0,2740,1974,144,130,69.0,7.0,0.10145,22.0,4.26864,11.5,0.08984,0.276,0.02567,0.028,36.26087,5.86479,25.0,40.0,33.62963,35.37037,6.09928,3.27957,2.05176
12,14,0,0,2449,1974,137,130,4.0,3.0,0.75,2.0,0.81128,0.66667,0.00625,0.01869,0.00156,0.01402,73.5,0.86603,72.0,85.0,1.91358,2.08642,1.50827,1.93793,2.09032
14,15,0,0,1974,2602,130,88,33.0,6.0,0.18182,21.0,4.10441,6.6,0.05156,0.1564,0.01228,0.02844,36.45455,5.75821,25.0,40.0,15.09877,17.90123,4.60694,2.81374,2.18561
13,15,0,0,2740,2602,144,88,12.0,7.0,0.58333,4.0,1.61401,2.4,0.01875,0.05687,0.00446,0.03318,73.16667,1.14261,71.0,85.0,4.08642,7.91358,3.91473,3.17662,2.93656
15,16,0,0,2602,3185,88,58,20.0,3.0,0.15,13.0,3.54644,6.66667,0.05208,0.17094,0.00781,0.02564,33.35,4.74631,26.0,41.0,7.44444,12.55556,4.60172,2.88675,2.68657
14,16,0,0,1974,3185,130,58,8.0,4.0,0.5,4.0,1.75,2.66667,0.02083,0.06838,0.00298,0.03419,72.125,1.26861,71.0,85.0,2.44444,5.55556,3.55335,4.08248,3.27273
15,17,0,0,2602,3217,88,114,13.0,7.0,0.53846,2.0,0.99573,2.6,0.02031,0.06161,0.00508,0.03318,73.46154,0.49852,73.0,86.0,3.76543,9.23457,4.75893,2.61425,3.45246
16,17,26,1,3185,3217,58,114,77.0,29.0,0.37662,18.0,3.37256,15.4,0.20052,0.65812,0.03342,0.24786,39.48052,4.35028,29.0,43.0,27.02469,49.97531,9.61336,28.77769,2.84925
17,18,5,1,3217,3326,114,76,2.0,1.0,0.5,2.0,1.0,0.5,0.00391,0.01156,0.00078,0.00578,72,1.0,71.0,86.0,0.91358,1.08642,1.13664,1.07291,2.18919
18,19,0,0,3326,3090,76,109,60.0,7.0,0.11667,21.0,4.23113,15.0,0.11719,0.34682,0.02467,0.04046,37.46667,5.59007,28.0,43.0,26.8642,33.1358,6.39309,3.69711,2.23346
19,20,8,1,3090,3032,109,66,24.0,6.0,0.25,12.0,3.2406,12.0,0.09375,0.23762,0.00987,0.05941,38.04167,5.24785,28.0,42.0,8.50617,15.49383,5.31241,6.24435,2.82148
18,20,0,0,3326,3032,76,66,2.0,1.0,0.5,2.0,1.0,1.0,0.00781,0.0198,0.00082,0.0099,73.5,0.5,73.0,88.0,1.2716,0.7284,0.64594,0.59628,1.57282
20,21,32,1,3032,3066,66,58,45.0,27.0,0.6,13.0,2.35548,15.0,0.17578,0.44554,0.02068,0.26733,39.33333,3.45125,29.0,43.0,7.85185,37.14815,13.25718,33.183,5.73113
19,21,34,1,3090,3066,109,58,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00926,0.00041,0.00926,74,0.0,74.0,86.0,0.46914,0.53086,0.77506,0.77506,2.13158
21,22,0,0,3066,3359,58,149,66.0,6.0,0.09091,22.0,4.22601,9.42857,0.17188,0.61111,0.02865,0.05556,39.56061,5.35732,28.0,43.0,31.74074,34.25926,6.08092,4.6188,2.07935
20,22,0,0,3032,3359,66,149,2.0,2.0,1.0,1.0,-0.0,0.28571,0.00781,0.0198,0.00092,0.0198,74,0.0,74.0,88.0,1.09877,0.90123,0.85978,1.1547,1.82022
22,23,52,1,3359,3456,149,57,69.0,27.0,0.3913,13.0,2.46825,23.0,0.17969,0.52672,0.0245,0.20611,38.31884,3.64152,26.0,39.0,9.22222,59.77778,19.68439,28.59931,7.48193
22,24,21,1,3359,3266,149,114,5.0,2.0,0.4,3.0,1.52193,1.0,0.00781,0.02315,0.00178,0.00926,72.8,0.74833,72.0,84.0,2.03704,2.96296,2.076,2.81374,2.45455
23,24,0,0,3456,3266,57,114,41.0,5.0,0.12195,16.0,3.80916,8.2,0.10677,0.31298,0.0178,0.03817,38.63415,5.33171,31.0,43.0,19.95062,21.04938,4.71261,3.07937,2.05507
24,25,0,0,3266,2896,114,83,40.0,5.0,0.125,20.0,4.04394,10.0,0.07812,0.24691,0.01562,0.03086,37.55,5.42656,27.0,41.0,18.90123,21.09877,4.85302,2.73737,2.11626
23,25,0,0,3456,2896,57,83,2.0,2.0,1.0,1.0,-0.0,0.5,0.00521,0.01527,0.00087,0.01527,74,0.0,74.0,88.0,0.7037,1.2963,1.54529,1.54529,2.84211
25,26,0,0,2896,3564,83,128,51.0,5.0,0.09804,21.0,4.23352,12.75,0.09961,0.31481,0.02097,0.03086,38.11765,5.8028,28.0,43.0,23.54321,27.45679,5.6587,2.85774,2.16623
24,26,0,0,3266,3564,114,128,2.0,2.0,1.0,1.0,-0.0,0.5,0.00391,0.0099,0.00078,0.0099,74,0.0,74.0,87.0,1.33333,0.66667,0.57735,0.55105,1.5
26,27,46,1,3564,3494,128,116,108.0,45.0,0.41667,21.0,3.39018,18.0,0.21094,0.53465,0.04441,0.22277,38.85185,5.24018,26.0,41.0,34.35802,73.64198,12.56352,47.47714,3.14337
25,27,0,0,2896,3494,83,116,3.0,3.0,1.0,1.0,-0.0,0.5,0.00586,0.01852,0.00123,0.01852,74,0.0,74.0,87.0,0.41975,2.58025,3.98258,3.98258,7.14706
27,28,0,0,3494,2968,116,123,52.0,9.0,0.17308,20.0,3.92537,10.4,0.08125,0.24186,0.01935,0.04186,37.09615,6.75466,26.0,40.0,22.41975,29.58025,6.24721,8.35085,2.31938
26,28,0,0,3564,2968,128,123,8.0,7.0,0.875,2.0,0.54356,1.6,0.01562,0.0396,0.00329,0.03465,73.75,0.66144,72.0,86.0,3.19753,4.80247,2.6857,1.90036,2.50193
28,29,0,0,2968,2863,123,53,18.0,3.0,0.16667,12.0,3.46132,6.0,0.04688,0.14754,0.00703,0.02459,35.83333,5.91843,28.0,41.0,8.88889,9.11111,3.05596,3.22039,2.025
27,29,0,0,3494,2863,116,53,8.0,3.0,0.375,4.0,1.90564,2.66667,0.02083,0.06557,0.00298,0.02459,72.375,1.11102,71.0,85.0,3.37037,4.62963,2.52178,1.51732,2.37363
28,30,0,0,2968,3143,123,102,5.0,4.0,0.8,2.0,0.72193,1.25,0.00977,0.0303,0.00195,0.02424,72.6,0.8,71.0,86.0,2.37037,2.62963,1.70799,2.55344,2.10938
29,30,0,0,2863,3143,53,102,40.0,4.0,0.1,19.0,4.09644,10.0,0.10417,0.32787,0.01736,0.03279,38.875,5.27346,29.0,43.0,24.67901,15.32099,3.08406,1.54529,1.62081
30,31,0,0,3143,3919,102,149,56.0,5.0,0.08929,20.0,4.12274,11.2,0.10938,0.33939,0.02303,0.0303,38.5,5.23723,29.0,43.0,26.07407,29.92593,5.86061,3.27957,2.14773
31,33,0,0,3919,3617,149,85,7.0,4.0,0.57143,3.0,1.37878,1.75,0.01367,0.03933,0.00273,0.02247,72.85714,0.63888,72.0,85.0,3.45679,3.54321,1.90573,1.54529,2.025
33,34,0,0,3617,4423,85,61,20.0,4.0,0.2,14.0,3.58418,6.66667,0.05208,0.17241,0.00822,0.03448,36.65,5.42471,27.0,42.0,8.67901,11.32099,3.84281,3.88083,2.30441
34,35,0,0,4423,3998,61,129,43.0,5.0,0.11628,19.0,4.00548,7.16667,0.11198,0.37069,0.01866,0.0431,39.02326,5.81293,28.0,43.0,19.65432,23.34568,5.26596,2.88675,2.18781
33,35,0,0,3617,3998,85,129,2.0,1.0,0.5,2.0,1.0,0.33333,0.00391,0.01124,0.00082,0.00562,73.5,0.5,73.0,87.0,1.45679,0.54321,0.45006,0.3712,1.37288
35,36,0,0,3998,3859,129,76,30.0,4.0,0.13333,14.0,3.64774,10.0,0.07812,0.24194,0.01116,0.03226,35.86667,6.76626,27.0,40.0,13.01235,16.98765,4.70929,2.74416,2.3055
34,36,0,0,4423,3859,61,76,3.0,3.0,1.0,1.0,-0.0,1.0,0.00781,0.02586,0.0013,0.02586,74,0.0,74.0,88.0,0.83951,2.16049,2.35799,2.35799,3.57353
35,37,0,0,3998,3757,129,119,5.0,3.0,0.6,2.0,0.97095,1.25,0.00977,0.02525,0.00186,0.01515,73.6,0.4899,73.0,86.0,3.2963,1.7037,0.93838,0.66865,1.51685
36,37,17,1,3859,3757,76,119,57.0,15.0,0.26316,17.0,3.69055,14.25,0.14844,0.45968,0.02474,0.12097,39.59649,4.8008,31.0,44.0,22.67901,34.32099,7.20689,16.56776,2.51334
37,38,0,0,3757,4154,119,68,14.0,2.0,0.14286,10.0,3.23593,7.0,0.05469,0.15217,0.00576,0.02174,33.64286,4.69965,28.0,42.0,7.33333,6.66667,2.46183,1.66359,1.90909
38,39,0,0,4154,4238,68,78,1.0,1.0,1.0,1.0,-0.0,0.33333,0.00391,0.01087,0.00046,0.01087,74,0.0,74.0,89.0,0.75309,0.24691,0.28453,0.28453,1.32787
39,40,0,0,4238,4371,78,124,56.0,8.0,0.14286,21.0,4.0971,9.33333,0.14583,0.38621,0.02431,0.05517,37.82143,5.4971,28.0,42.0,24.08642,31.91358,6.50264,3.44611,2.32496
40,41,0,0,4371,4129,124,41,33.0,5.0,0.15152,18.0,3.98017,11.0,0.08594,0.30841,0.01228,0.04673,35,6.4291,25.0,40.0,15.02469,17.97531,4.63739,3.62957,2.19638
39,41,0,0,4238,4129,78,41,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01869,0.00087,0.01869,74,0.0,74.0,87.0,0.7284,1.2716,1.48994,1.48994,2.74576
41,42,0,0,4129,4196,41,94,67.0,19.0,0.28358,17.0,3.02205,16.75,0.17448,0.62617,0.02908,0.17757,42.76119,4.8962,28.0,43.0,13.23457,53.76543,14.77911,22.36508,5.0625
40,42,0,0,4371,4196,124,94,6.0,2.0,0.33333,4.0,1.9183,1.5,0.01172,0.03448,0.00223,0.01149,72,1.52753,70.0,85.0,2.87654,3.12346,1.84162,2.81374,2.08584
42,43,0,0,4196,3663,94,147,62.0,7.0,0.1129,22.0,4.22621,10.33333,0.12109,0.35632,0.02549,0.04023,39.48387,5.89079,28.0,42.0,29.69136,32.30864,5.9293,3.22039,2.08815
43,44,0,0,3663,4078,147,84,58.0,16.0,0.27586,19.0,3.46383,14.5,0.11328,0.32768,0.02158,0.0904,40.96552,7.31075,26.0,40.0,17.83951,40.16049,9.5084,18.77942,3.25121
42,44,0,0,4196,4078,94,84,4.0,2.0,0.5,2.0,1.0,1.0,0.00781,0.02299,0.00164,0.01149,73.5,0.5,73.0,87.0,2.34568,1.65432,1.08015,1.03459,1.70526
