det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,14,28,1914,1974,88,130,630
1,13,80,2804,2740,119,144,540
1,25,27,2804,2896,119,83,1125
1,29,53,2804,2863,119,53,1305
2,10,51,2414,2329,51,154,360
2,12,16,2414,2449,51,137,450
3,4,1,2283,2162,103,122,45
3,6,49,2283,2230,103,102,135
3,10,57,2283,2329,103,154,315
4,5,33,2162,2091,122,104,45
4,6,54,2162,2230,122,102,90
5,9,21,2091,2055,104,57,180
5,14,13,2091,1974,104,130,405
6,10,3,2230,2329,102,154,180
7,13,40,2656,2740,124,144,270
7,15,34,2656,2602,124,88,360
8,11,43,2523,2554,74,100,135
8,12,63,2523,2449,74,137,180
9,14,49,2055,1974,57,130,225
10,12,34,2329,2449,154,137,90
11,12,32,2554,2449,100,137,45
11,15,52,2554,2602,100,88,180
13,29,21,2740,2863,144,53,765
16,17,26,3185,3217,58,114,45
16,19,14,3185,3090,58,109,180
16,30,58,3185,3143,58,102,675
17,18,5,3217,3326,114,76,90
17,24,65,3217,3266,114,114,360
17,30,28,3217,3143,114,102,630
18,22,43,3326,3359,76,149,180
18,24,54,3326,3266,76,114,270
19,20,8,3090,3032,109,66,45
19,21,34,3090,3066,109,58,90
19,28,1,3090,2968,109,123,405
19,30,56,3090,3143,109,102,495
20,21,32,3032,3066,66,58,45
20,28,59,3032,2968,66,123,360
21,28,25,3066,2968,58,123,315
22,23,52,3359,3456,149,57,45
22,24,21,3359,3266,149,114,90
22,27,14,3359,3494,149,116,225
23,27,19,3456,3494,57,116,180
25,28,11,2896,2968,83,123,135
25,29,20,2896,2863,83,53,180
26,27,46,3564,3494,128,116,45
26,33,75,3564,3617,128,85,315
26,43,29,3564,3663,128,147,810
31,35,70,3919,3998,149,129,180
31,36,16,3919,3859,149,76,225
33,43,39,3617,3663,85,147,495
34,40,61,4423,4371,61,124,315
34,45,13,4423,4282,61,154,540
34,46,37,4423,4447,61,149,585
35,44,49,3998,4078,129,84,450
36,37,17,3859,3757,76,119,45
37,43,53,3757,3663,119,147,315
38,41,16,4154,4129,68,41,180
38,42,26,4154,4196,68,94,225
38,44,8,4154,4078,68,84,315
39,42,52,4238,4196,78,94,135
39,45,34,4238,4282,78,154,270
40,45,65,4371,4282,124,154,225
40,46,48,4371,4447,124,149,270
41,44,33,4129,4078,41,84,135
42,45,8,4196,4282,94,154,135
46,55,23,4447,4573,149,41,405
46,59,65,4447,4507,149,65,585
47,52,40,4763,4815,92,92,225
47,56,73,4763,4681,92,155,405
48,49,39,5046,4954,137,131,45
48,53,48,5046,5135,137,86,225
48,58,23,5046,5019,137,50,450
48,60,1,5046,5182,137,159,540
49,58,50,4954,5019,131,50,405
49,61,38,4954,4877,131,115,540
51,60,55,5286,5182,130,159,405
51,62,42,5286,5374,130,117,495
52,56,21,4815,4681,92,155,180
52,61,30,4815,4877,92,115,405
53,60,39,5135,5182,86,159,315
54,55,17,4597,4573,88,41,45
54,56,4,4597,4681,88,155,90
54,57,42,4597,4643,88,61,135
56,57,23,4681,4643,155,61,45
62,67,44,5374,5447,117,83,225
62,72,42,5374,5423,117,42,495
63,66,37,6060,6091,68,100,135
63,68,23,6060,6033,68,50,225
63,75,8,6060,5973,68,95,585
64,65,24,5773,5753,151,44,45
64,69,43,5773,5670,151,146,225
64,73,72,5773,5852,151,144,450
65,69,44,5753,5670,44,146,180
67,71,28,5447,5502,83,113,225
67,72,18,5447,5423,83,42,270
68,75,35,6033,5973,50,95,360
69,70,39,5670,5623,146,86,45
70,74,24,5623,5569,86,78,225
71,74,46,5502,5569,113,78,135
73,75,23,5852,5973,144,95,90
73,76,58,5852,5938,144,62,135
75,76,27,5973,5938,95,62,45
