feature,auc,auc_abs,direction,median_true,median_false
obs_over_exp,0.727,0.727,high=true,2.8354,2.1745
mass_per_child_batch,0.717,0.717,high=true,14.625,6.6667
poisson_z_max_cell,0.714,0.714,high=true,18.8916,2.6991
poisson_z_total,0.71,0.71,high=true,8.8573,3.8055
excess_mass,0.703,0.703,high=true,34.3333,10.9506
max_cell,0.697,0.697,high=true,19.5,4.0
max_cell_over_min_miss,0.682,0.682,high=true,0.1285,0.0256
mass_over_min_read_mass,0.681,0.681,high=true,0.1302,0.0521
mass_over_min_miss_mass,0.676,0.676,high=true,0.3868,0.1564
mass,0.664,0.664,high=true,52.0,20.0
mass_over_evict_writes,0.66,0.66,high=true,0.0211,0.0078
gap,0.371,0.629,low=true,42.5,43.0
alpha_min,0.408,0.592,low=true,28.5,30.0
peak_frac,0.579,0.579,high=true,0.3822,0.3281
exp_mass,0.552,0.552,high=true,9.9383,8.679
n_dist,0.541,0.541,high=true,13.5,13.0
dist_entropy,0.462,0.538,low=true,2.8179,3.2359
alpha_mean,0.47,0.53,low=true,39.5385,41.6667
alpha_sd,0.482,0.518,low=true,4.3695,4.6753
