det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
2,4,542,9494,10060,1108,1206,44
2,5,526,9494,10076,1108,1186,57
2,6,423,9494,10179,1108,570,90
4,5,1186,10060,10076,1206,1186,13
4,6,570,10060,10179,1206,570,46
5,6,570,10076,10179,1186,570,33
10,11,1017,76521,76607,1111,1017,34
18,19,701,11938,11431,701,1625,58
28,29,998,96837,96859,1020,1258,13
28,30,1020,96837,96835,1020,1164,25
28,31,1020,96837,96529,1020,1610,46
28,32,1013,96837,96844,1020,1378,70
29,30,1140,96859,96835,1258,1164,12
29,31,1258,96859,96529,1258,1610,33
29,32,1258,96859,96844,1258,1378,57
30,31,1164,96835,96529,1164,1610,21
30,32,1155,96835,96844,1164,1378,45
31,32,1295,96529,96844,1610,1378,24
35,45,60,56781,57753,992,437,243
37,38,792,31354,31162,792,1073,25
37,39,792,31354,31341,792,861,58
38,39,861,31162,31341,1073,861,33
43,44,662,90305,90609,1440,662,12
45,48,144,57753,58046,437,244,114
53,54,527,21160,21634,1001,1098,32
