parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
2,4,542,1,9494,10060,1108,1206,244.0,71.0,0.29098,18.0,3.69755,61.0,0.03253,0.21825,0.00542,0.06351,38.33607,4.62284,27.0,42.0,244.94,-0.94,-0.06006,9.18601,0.99616
4,5,1186,1,10060,10076,1206,1186,1321.0,1163.0,0.88039,16.0,0.97319,330.25,0.1321,0.8731,0.02781,0.76867,10.58592,1.76012,1.0,10.0,294.48,1026.52,59.81905,214.21531,4.48587
2,5,526,1,9494,10076,1108,1186,24.0,8.0,0.33333,5.0,2.12165,6.0,0.0032,0.02147,0.00053,0.00716,43.45833,1.22404,40.0,55.0,42.48,-18.48,-2.83537,0.26389,0.56497
4,6,570,1,10060,10179,1206,570,49.0,9.0,0.18367,12.0,3.34617,16.33333,0.00653,0.05998,0.00103,0.01102,38.7551,2.94529,34.0,43.0,132.36,-83.36,-7.24568,1.08423,0.3702
5,6,570,1,10076,10179,1186,570,651.0,551.0,0.84639,21.0,1.26831,217.0,0.0868,0.79682,0.01371,0.67442,30.03994,3.22218,15.0,30.0,304.98,346.02,19.8137,147.62922,2.13457
10,11,1017,1,76521,76607,1111,1017,1133.0,933.0,0.82348,22.0,1.24768,283.25,0.1133,0.83678,0.02385,0.68907,31.31068,2.48289,16.0,31.0,243.8,889.2,56.94854,198.33923,4.64725
11,12,0,0,76607,73972,1017,1421,635.0,48.0,0.07559,21.0,4.29225,158.75,0.0635,0.46898,0.01337,0.03545,27.46929,5.37567,17.0,32.0,580.16,54.84,2.27679,2.32596,1.09453
18,19,701,1,11938,11431,701,1625,1602.0,1358.0,0.84769,22.0,1.16999,400.5,0.1602,0.97268,0.03373,0.82453,30.43258,2.56297,15.0,30.0,554.02,1047.98,44.5236,197.73768,2.89159
18,20,0,0,11938,55272,701,611,272.0,21.0,0.07721,20.0,4.19442,90.66667,0.03627,0.38042,0.00573,0.02937,34.55515,5.10016,25.0,40.0,286.1,-14.1,-0.8336,1.73205,0.95072
19,20,0,0,11431,55272,1625,611,196.0,26.0,0.13265,12.0,3.47201,65.33333,0.02613,0.27413,0.00413,0.03636,6.15306,3.01815,1.0,7.0,153.42,42.58,3.43767,3.9876,1.27754
20,21,0,0,55272,73148,611,380,248.0,20.0,0.08065,20.0,4.21606,82.66667,0.03307,0.42177,0.00551,0.03401,17.28629,5.17698,8.0,23.0,211.54,36.46,2.5068,1.92525,1.17236
19,21,0,0,11431,73148,1625,380,120.0,16.0,0.13333,12.0,3.40059,40.0,0.016,0.20408,0.00253,0.02721,31.35,3.04316,26.0,32.0,111.28,8.72,0.82662,1.63978,1.07836
21,22,0,0,73148,41123,380,1473,624.0,50.0,0.08013,20.0,4.18111,156.0,0.0832,1.06122,0.01387,0.08503,17.59135,4.93171,8.0,23.0,573.9,50.1,2.09132,3.75372,1.0873
20,22,0,0,55272,41123,611,1473,391.0,40.0,0.1023,12.0,3.56362,97.75,0.05213,0.54685,0.00869,0.05594,39.68286,3.36169,34.0,48.0,366.04,24.96,1.30461,2.07367,1.06819
24,25,0,0,62141,78582,491,758,444.0,175.0,0.39414,9.0,2.13392,148.0,0.0592,0.77352,0.00987,0.30488,4.02477,1.39071,1.0,5.0,131.76,312.24,27.20174,39.35588,3.36976
25,28,0,0,78582,96837,758,1020,5.0,5.0,1.0,1.0,-0.0,1.25,0.00067,0.00616,0.00011,0.00616,45,0.0,45.0,60.0,1.76,3.24,2.44224,2.44224,2.84091
28,29,998,1,96837,96859,1020,1258,1153.0,994.0,0.8621,15.0,1.07189,288.25,0.1153,0.83977,0.02427,0.72396,10.52125,1.83578,1.0,10.0,232.9,920.1,60.29069,213.7681,4.95062
29,30,1140,1,96859,96835,1258,1164,1267.0,1108.0,0.87451,15.0,0.95662,316.75,0.1267,0.84636,0.02667,0.74015,9.79163,1.38346,1.0,9.0,158.96,1108.04,87.88434,210.74748,7.97056
28,30,1020,1,96837,96835,1020,1164,105.0,21.0,0.2,16.0,3.77467,26.25,0.0105,0.07647,0.00221,0.01529,20.80952,4.05696,13.0,22.0,175.46,-70.46,-5.31929,3.26347,0.59843
