parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
1,2,0,0,4372,3449,59,53,27.0,5.0,0.18519,15.0,3.67639,9.0,0.07031,0.22881,0.01172,0.04237,37.14815,5.34515,29.0,43.0,11.96296,15.03704,4.34753,4.19107,2.25697
2,3,0,0,3449,4014,53,139,59.0,7.0,0.11864,19.0,3.94541,11.8,0.15365,0.4876,0.02561,0.05785,40.11864,5.29177,29.0,44.0,25.50617,33.49383,6.63196,3.83334,2.31317
3,4,0,0,4014,4258,139,117,44.0,5.0,0.11364,18.0,4.03604,14.66667,0.11458,0.31206,0.01719,0.03546,36.18182,5.98586,27.0,41.0,17.25926,26.74074,6.43669,4.06181,2.54936
2,4,0,0,3449,4258,53,117,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01653,0.00087,0.01653,74,0.0,74.0,89.0,0.7037,1.2963,1.54529,1.54529,2.84211
4,5,0,0,4258,3926,117,141,62.0,6.0,0.09677,22.0,4.21632,10.33333,0.16146,0.43972,0.02691,0.04255,38.54839,5.36018,27.0,42.0,28.85185,33.14815,6.17124,3.27957,2.14891
3,5,53,1,4014,3926,139,141,11.0,4.0,0.36364,4.0,1.93626,1.83333,0.01719,0.04701,0.0043,0.01709,72.54545,0.98753,71.0,85.0,4.65432,6.34568,2.94137,2.85774,2.3634
5,6,0,0,3926,5845,141,130,47.0,8.0,0.17021,21.0,4.04353,11.75,0.0918,0.25134,0.01749,0.04278,36.42553,4.98399,27.0,41.0,22.7037,24.2963,5.09908,4.83484,2.07015
4,6,0,0,4258,5845,117,130,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00709,0.00043,0.00709,73,0.0,73.0,88.0,0.69136,0.30864,0.3712,0.3712,1.44643
5,7,0,0,3926,6347,141,128,9.0,6.0,0.66667,4.0,1.44662,1.8,0.01406,0.03766,0.00335,0.0251,72.77778,0.78567,71.0,86.0,3.59259,5.40741,2.85289,2.73737,2.50515
6,7,0,0,5845,6347,130,128,56.0,6.0,0.10714,19.0,4.06363,11.2,0.10938,0.29947,0.02303,0.03209,37.92857,5.42763,28.0,42.0,24.90123,31.09877,6.23208,3.76291,2.24888
7,8,16,1,6347,6276,128,87,60.0,14.0,0.23333,18.0,3.8227,15.0,0.11719,0.36364,0.02344,0.08485,37.68333,5.3743,27.0,40.0,21.82716,38.17284,8.17064,16.16581,2.74887
6,8,0,0,5845,6276,130,87,12.0,6.0,0.5,3.0,1.45915,3.0,0.02344,0.07273,0.00493,0.03636,73.16667,0.68718,72.0,86.0,4.79012,7.20988,3.29423,2.55411,2.50515
8,9,0,0,6276,4709,87,116,52.0,5.0,0.09615,20.0,4.18834,10.4,0.10156,0.31515,0.02138,0.0303,38.03846,5.96774,28.0,42.0,26.16049,25.83951,5.05198,2.81374,1.98773
7,9,0,0,6347,4709,128,116,9.0,3.0,0.33333,5.0,2.19716,1.8,0.01406,0.04167,0.00352,0.01389,72.44444,1.42292,70.0,85.0,3.83951,5.16049,2.63362,1.48994,2.34405
9,10,0,0,4709,5131,116,122,46.0,7.0,0.15217,19.0,3.938,11.5,0.08984,0.23834,0.01797,0.03627,36.95652,5.50477,27.0,42.0,21.2963,24.7037,5.35316,3.90649,2.16
9,11,0,0,4709,4347,116,61,5.0,3.0,0.6,3.0,1.37095,1.66667,0.01302,0.04274,0.00195,0.02564,73,1.26491,71.0,86.0,2.22222,2.77778,1.86339,1.31298,2.25
10,11,0,0,5131,4347,122,61,21.0,4.0,0.19048,10.0,3.14162,7.0,0.05469,0.17949,0.00863,0.03419,34.52381,6.13824,26.0,41.0,9.54321,11.45679,3.70865,1.97657,2.20052
11,12,0,0,4347,3802,61,114,39.0,4.0,0.10256,17.0,3.894,7.8,0.10156,0.33333,0.01693,0.03419,37.61538,4.93348,30.0,43.0,19.41975,19.58025,4.4432,2.33333,2.00826
10,12,0,0,5131,3802,122,114,6.0,3.0,0.5,3.0,1.45915,1.2,0.01172,0.03109,0.00247,0.01554,73.16667,0.68718,72.0,86.0,2.38272,3.61728,2.3434,1.69492,2.51813
12,13,0,0,3802,5909,114,85,29.0,3.0,0.10345,15.0,3.78834,5.8,0.04531,0.14573,0.01133,0.01508,35.37931,5.42926,26.0,41.0,14.2716,14.7284,3.89869,2.33333,2.03201
13,14,0,0,5909,3284,85,58,41.0,6.0,0.14634,19.0,4.07635,13.66667,0.10677,0.3254,0.01602,0.04762,36.87805,5.71773,28.0,42.0,18.62963,22.37037,5.18288,4.62121,2.2008
12,14,0,0,3802,3284,114,58,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01587,0.00078,0.00794,72.5,0.5,72.0,87.0,1.62963,0.37037,0.29013,0.20515,1.22727
14,15,0,0,3284,4474,58,125,55.0,7.0,0.12727,20.0,4.15062,11.0,0.14323,0.43651,0.02387,0.05556,38.07273,5.59173,28.0,43.0,26.39506,28.60494,5.56775,2.01637,2.08372
13,15,0,0,5909,4474,85,125,8.0,4.0,0.5,3.0,1.40564,1.6,0.0125,0.03636,0.00313,0.01818,73.375,0.69597,72.0,87.0,3.93827,4.06173,2.04672,1.72701,2.03135
15,16,0,0,4474,5247,125,76,40.0,6.0,0.15,19.0,4.01531,10.0,0.07812,0.2439,0.01562,0.03659,36.15,5.6989,25.0,40.0,15.35802,24.64198,6.28793,3.92945,2.6045
14,16,0,0,3284,5247,58,76,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00794,0.00043,0.00794,73,0.0,73.0,87.0,0.7037,0.2963,0.35321,0.35321,1.42105
16,17,0,0,5247,4950,76,74,48.0,5.0,0.10417,20.0,4.07999,12.0,0.09375,0.29268,0.01974,0.03049,37.95833,5.78777,29.0,42.0,24.04938,23.95062,4.88388,2.85774,1.99589
15,17,0,0,4474,4950,125,74,12.0,4.0,0.33333,5.0,2.12581,3.0,0.02344,0.07059,0.00469,0.02353,71.91667,1.11492,70.0,85.0,5.38272,6.61728,2.85219,2.62502,2.22936
17,18,0,0,4950,6247,74,58,21.0,3.0,0.14286,12.0,3.46328,7.0,0.05469,0.19626,0.00863,0.02804,35.19048,5.52586,28.0,42.0,7.96296,13.03704,4.62,5.38271,2.63721
16,18,0,0,5247,6247,76,58,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01869,0.00082,0.00935,73.5,0.5,73.0,87.0,1.30864,0.69136,0.60436,0.42734,1.5283
18,19,0,0,6247,3157,58,113,45.0,6.0,0.13333,18.0,3.96088,11.25,0.11719,0.42056,0.01953,0.05607,37.4,5.25949,29.0,44.0,21.87654,23.12346,4.94383,4.36508,2.057
19,20,0,0,3157,6411,113,119,50.0,6.0,0.12,16.0,3.88359,10.0,0.09766,0.26455,0.02056,0.03175,37.9,4.92037,30.0,41.0,24.58025,25.41975,5.12718,4.30549,2.03415
18,20,0,0,6247,6411,58,119,1.0,1.0,1.0,1.0,-0.0,0.2,0.0026,0.00935,0.00043,0.00935,74,0.0,74.0,88.0,0.82716,0.17284,0.19004,0.19004,1.20896
20,21,38,1,6411,6492,119,134,82.0,41.0,0.5,18.0,2.91178,13.66667,0.12812,0.37963,0.03203,0.18981,39.46341,3.76827,29.0,41.0,24.48148,57.51852,11.62489,41.76848,3.34947
19,21,0,0,3157,6492,113,134,4.0,3.0,0.75,2.0,0.81128,0.66667,0.00781,0.02116,0.00164,0.01587,73.5,0.86603,72.0,86.0,1.74074,2.25926,1.71238,1.57387,2.29787
21,22,0,0,6492,5420,134,54,13.0,3.0,0.23077,10.0,3.18083,6.5,0.05078,0.13402,0.00484,0.03093,36.23077,6.11623,28.0,41.0,6.46914,6.53086,2.56772,2.81666,2.00954
20,22,0,0,6411,5420,119,54,7.0,3.0,0.42857,3.0,1.44882,3.5,0.02734,0.07216,0.00273,0.03093,73.28571,0.69985,72.0,87.0,2.55556,4.44444,2.78019,2.81666,2.73913
22,23,0,0,5420,2749,54,52,20.0,4.0,0.2,11.0,3.24644,10.0,0.07812,0.20619,0.00919,0.04124,38.65,4.89157,31.0,44.0,9.80247,10.19753,3.25707,1.86383,2.0403
21,23,0,0,6492,2749,134,52,6.0,3.0,0.5,3.0,1.45915,3.0,0.02344,0.06061,0.00223,0.0303,73.33333,0.74536,72.0,86.0,2.95062,3.04938,1.77523,1.36111,2.03347
23,24,0,0,2749,6312,52,80,43.0,8.0,0.18605,16.0,3.52934,21.5,0.16797,0.46237,0.01976,0.08602,33.60465,4.67621,29.0,44.0,11.65432,31.34568,9.18193,7.93529,3.68962
23,25,0,0,2749,5186,52,127,1.0,1.0,1.0,1.0,-0.0,0.16667,0.00391,0.0101,0.00046,0.0101,74,0.0,74.0,88.0,0.33333,0.66667,1.1547,1.1547,3.0
24,25,0,0,6312,5186,80,127,32.0,4.0,0.125,17.0,3.85141,5.33333,0.125,0.34409,0.01471,0.04301,38.15625,5.05043,30.0,43.0,15.71605,16.28395,4.1076,1.90036,2.03614
28,29,0,0,6081,3374,69,144,61.0,6.0,0.09836,19.0,4.04766,10.16667,0.11914,0.39869,0.02508,0.03922,36.88525,4.90265,29.0,42.0,29.93827,31.06173,5.67691,2.94299,2.03753
29,30,0,0,3374,5445,144,67,44.0,6.0,0.13636,16.0,3.80502,11.0,0.08594,0.25581,0.01637,0.03488,35.20455,5.89522,27.0,40.0,17.87654,26.12346,6.17858,3.92945,2.46133
28,30,0,0,6081,5445,69,67,1.0,1.0,1.0,1.0,-0.0,0.25,0.00195,0.00654,0.00041,0.00654,74,0.0,74.0,87.0,0.7037,0.2963,0.35321,0.35321,1.42105
30,31,0,0,5445,4774,67,142,91.0,12.0,0.13187,21.0,4.17014,15.16667,0.17773,0.52907,0.03742,0.06977,37.95604,5.23285,27.0,42.0,42.18519,48.81481,7.51574,5.57788,2.15716
29,31,0,0,3374,4774,144,142,13.0,5.0,0.38462,3.0,1.54858,2.16667,0.01693,0.05179,0.00484,0.01992,73.15385,0.76923,72.0,85.0,7.41975,5.58025,2.04861,1.48994,1.75208
30,32,14,1,5445,5374,67,85,4.0,2.0,0.5,2.0,1.0,1.0,0.00781,0.02424,0.00164,0.01212,73.5,0.5,73.0,87.0,2.38272,1.61728,1.04773,1.07291,1.67876
31,32,0,0,4774,5374,142,85,41.0,5.0,0.12195,19.0,4.07391,10.25,0.08008,0.24848,0.01525,0.0303,36.04878,6.01604,25.0,40.0,19.50617,21.49383,4.86662,2.69908,2.1019
32,33,0,0,5374,4412,85,93,51.0,8.0,0.15686,18.0,3.84655,12.75,0.09961,0.30909,0.02097,0.04848,36.47059,4.93627,28.0,42.0,16.69136,34.30864,8.39765,6.04698,3.05547
31,33,0,0,4774,4412,142,93,8.0,3.0,0.375,4.0,1.90564,2.0,0.01562,0.04819,0.00298,0.01807,72.75,1.29904,70.0,85.0,3.23457,4.76543,2.64968,2.69908,2.47328
33,34,0,0,4412,5729,93,57,29.0,6.0,0.2069,14.0,3.51248,9.66667,0.07552,0.22835,0.01192,0.04724,35.93103,6.15283,27.0,42.0,13.87654,15.12346,4.05985,2.85774,2.08986
