tau,window,label,E1_frac_rho,E2_excess_rho
20,80-82,narrowed (leaks fakes),0.259,0.612
20,79-83,self-calibrated,0.48,0.612
20,78-84,widened,0.579,0.612
20,75-90,very wide,0.569,0.612
