episode,iou,target_visible,raw_m,batches_det,batches_true,m_current,m_fix_span,m_fix_series,m_fix_both,m_ideal_own_mass,err_current,err_fix_span,err_fix_series,err_fix_both,err_own_mass,m_saturation,err_saturation,m_integrate,win_len,err_integrate
0,1.0,62,69,2,2,45.0,45.0,53.0,53.0,62,0.2742,0.2742,0.1452,0.1452,0.0,77.5,0.25,67.0,3,0.0806
1,0.333,54,59,3,1,50.5,32.0,53.0,32.0,54,0.0648,0.4074,0.0185,0.4074,0.0,85.8,0.5885,64.0,4,0.1852
2,0.5,66,71,3,3,55.0,40.0,67.0,50.0,65,0.1667,0.3939,0.0152,0.2424,0.0152,97.4,0.4762,55.0,3,0.1667
4,0.5,86,87,4,2,70.0,58.0,73.0,59.0,86,0.186,0.3256,0.1512,0.314,0.0,125.7,0.4619,84.0,5,0.0233
5,0.5,72,72,4,2,67.0,55.0,66.0,55.0,72,0.0694,0.2361,0.0833,0.2361,0.0,118.8,0.6505,67.0,4,0.0694
6,0.5,65,67,4,2,62.0,57.0,67.0,56.0,67,0.0462,0.1231,0.0308,0.1385,0.0308,113.7,0.7487,65.0,5,0.0
7,0.5,72,74,4,2,56.0,44.0,69.0,55.0,72,0.2222,0.3889,0.0417,0.2361,0.0,103.3,0.4352,56.0,4,0.2222
9,0.333,79,89,4,3,76.0,47.0,81.0,49.0,80,0.038,0.4051,0.0253,0.3797,0.0127,130.9,0.6568,81.0,5,0.0253
10,0.4,83,86,4,3,76.0,64.0,74.0,61.0,84,0.0843,0.2289,0.1084,0.2651,0.012,130.9,0.577,94.0,11,0.1325
11,0.4,102,103,5,2,94.0,60.0,103.5,68.0,102,0.0784,0.4118,0.0147,0.3333,0.0,161.9,0.5871,98.0,6,0.0392
12,0.4,95,100,5,2,92.0,55.0,95.0,58.0,97,0.0316,0.4211,0.0,0.3895,0.0211,160.2,0.686,97.0,9,0.0211
13,0.4,105,109,5,2,101.0,60.0,106.0,65.0,104,0.0381,0.4286,0.0095,0.381,0.0095,173.9,0.6566,107.0,8,0.019
14,0.5,70,81,3,2,43.0,42.0,45.0,45.0,70,0.3857,0.4,0.3571,0.3571,0.0,74.1,0.0579,64.0,7,0.0857
15,0.4,110,110,5,2,34.0,0.0,113.0,69.0,109,0.6909,1.0,0.0273,0.3727,0.0091,74.4,0.3236,39.0,7,0.6455
16,0.333,78,80,2,2,31.0,40.0,35.0,50.0,16,0.6026,0.4872,0.5513,0.359,0.7949,53.4,0.3155,63.0,4,0.1923
17,0.5,98,99,4,2,85.0,65.0,83.0,64.0,98,0.1327,0.3367,0.1531,0.3469,0.0,144.4,0.4733,107.0,6,0.0918
18,0.333,116,122,5,2,115.0,57.0,126.0,66.0,116,0.0086,0.5086,0.0862,0.431,0.0,203.7,0.7562,115.0,5,0.0086
19,0.667,101,105,3,2,79.0,58.0,89.0,65.0,102,0.2178,0.4257,0.1188,0.3564,0.0099,136.1,0.3471,97.0,5,0.0396
20,0.667,64,66,3,2,49.0,44.0,48.0,43.0,64,0.2344,0.3125,0.25,0.3281,0.0,84.4,0.3186,65.0,4,0.0156
21,0.75,144,155,4,3,96.0,83.0,116.0,97.0,149,0.3333,0.4236,0.1944,0.3264,0.0347,170.1,0.181,124.0,7,0.1389
22,0.75,121,129,4,3,96.0,76.0,106.0,87.0,121,0.2066,0.3719,0.124,0.281,0.0,170.1,0.4054,141.0,13,0.1653
23,1.0,71,71,2,2,56.0,56.0,60.0,60.0,71,0.2113,0.2113,0.1549,0.1549,0.0,96.4,0.3584,67.0,5,0.0563
25,0.333,60,60,3,1,51.0,38.5,52.0,36.0,60,0.15,0.3583,0.1333,0.4,0.0,93.9,0.5648,58.0,4,0.0333
26,0.5,75,76,3,2,52.0,56.0,51.0,56.0,75,0.3067,0.2533,0.32,0.2533,0.0,96.4,0.2859,85.0,7,0.1333
27,0.5,78,78,4,2,75.0,62.0,72.0,58.0,78,0.0385,0.2051,0.0769,0.2564,0.0,130.9,0.6781,95.0,12,0.2179
28,0.333,59,60,3,1,51.0,38.0,51.0,36.0,59,0.1356,0.3559,0.1356,0.3898,0.0,97.4,0.6513,54.0,4,0.0847
29,0.333,52,52,3,1,41.0,37.0,43.0,37.0,52,0.2115,0.2885,0.1731,0.2885,0.0,80.9,0.5566,49.0,8,0.0577
30,0.4,76,79,4,2,63.0,57.0,65.0,55.0,76,0.1711,0.25,0.1447,0.2763,0.0,115.4,0.5183,70.0,7,0.0789
32,0.333,58,58,3,1,46.0,34.0,53.0,35.5,58,0.2069,0.4138,0.0862,0.3879,0.0,82.7,0.4253,54.0,5,0.069
33,0.5,86,87,4,2,72.0,59.0,74.0,60.0,86,0.1628,0.314,0.1395,0.3023,0.0,124.0,0.4419,83.0,5,0.0349
35,0.5,82,84,4,2,86.0,63.0,83.0,61.0,83,0.0488,0.2317,0.0122,0.2561,0.0122,148.1,0.8062,111.0,7,0.3537
36,0.5,70,71,4,2,73.0,56.0,76.0,56.0,70,0.0429,0.2,0.0857,0.2,0.0,127.4,0.8206,80.0,6,0.1429
37,0.5,128,137,6,4,113.0,68.0,126.0,80.0,129,0.1172,0.4688,0.0156,0.375,0.0078,194.6,0.5204,133.0,10,0.0391
38,0.333,48,50,3,1,52.5,31.0,49.0,30.0,49,0.0938,0.3542,0.0208,0.375,0.0208,91.7,0.9102,58.0,4,0.2083
39,0.333,95,100,5,2,86.0,52.0,95.0,57.0,95,0.0947,0.4526,0.0,0.4,0.0,161.2,0.6968,91.0,6,0.0421
40,0.4,95,95,5,2,80.0,55.0,81.5,57.0,95,0.1579,0.4211,0.1421,0.4,0.0,145.3,0.529,86.0,7,0.0947
41,0.333,61,62,3,1,51.0,36.0,50.0,35.0,61,0.1639,0.4098,0.1803,0.4262,0.0,93.9,0.5391,57.0,4,0.0656
42,0.5,94,100,4,2,68.0,52.0,76.0,58.0,95,0.2766,0.4468,0.1915,0.383,0.0106,120.5,0.2815,90.0,8,0.0426
43,0.5,64,65,3,2,51.0,51.0,51.0,52.0,64,0.2031,0.2031,0.2031,0.1875,0.0,90.3,0.4116,61.0,6,0.0469
44,0.333,53,53,3,1,48.0,33.0,43.0,31.0,53,0.0943,0.3774,0.1887,0.4151,0.0,86.8,0.6377,66.0,6,0.2453
45,0.333,55,55,3,1,46.0,32.0,46.5,33.0,55,0.1636,0.4182,0.1545,0.4,0.0,79.2,0.4404,58.0,7,0.0545
46,0.4,110,118,5,2,93.5,58.0,100.5,64.0,111,0.15,0.4727,0.0864,0.4182,0.0091,163.3,0.4845,110.0,6,0.0
47,0.5,80,86,4,2,73.0,48.0,80.0,55.0,80,0.0875,0.4,0.0,0.3125,0.0,127.5,0.5937,76.5,5,0.0437
48,0.75,128,135,4,3,87.0,76.0,107.0,92.0,129,0.3203,0.4062,0.1641,0.2812,0.0078,149.8,0.1706,116.0,8,0.0938
49,0.4,86,90,5,2,82.0,60.0,84.0,58.0,85,0.0465,0.3023,0.0233,0.3256,0.0116,148.1,0.7222,82.0,5,0.0465
50,0.667,87,89,3,2,66.0,45.0,81.0,59.0,87,0.2414,0.4828,0.069,0.3218,0.0,113.7,0.3065,74.0,4,0.1494
51,0.333,47,50,3,1,44.0,28.5,45.0,32.0,48,0.0638,0.3936,0.0426,0.3191,0.0213,77.9,0.6584,67.0,11,0.4255
52,0.5,79,87,4,2,82.0,50.0,92.0,57.0,79,0.038,0.3671,0.1646,0.2785,0.0,141.2,0.7876,82.0,4,0.038
53,0.333,74,77,4,2,75.0,58.0,75.0,57.0,74,0.0135,0.2162,0.0135,0.2297,0.0,132.9,0.7954,79.0,5,0.0676
54,0.5,74,77,4,2,77.0,57.0,78.0,56.0,74,0.0405,0.2297,0.0541,0.2432,0.0,136.4,0.8432,77.0,4,0.0405
55,0.5,82,85,4,2,76.0,54.0,88.0,64.0,82,0.0732,0.3415,0.0732,0.2195,0.0,130.9,0.5962,86.0,6,0.0488
56,0.5,90,91,4,2,76.0,63.0,81.0,66.0,90,0.1556,0.3,0.1,0.2667,0.0,134.3,0.4926,90.0,7,0.0
57,0.333,106,114,6,2,115.0,60.0,108.0,61.0,106,0.0849,0.434,0.0189,0.4245,0.0,198.1,0.8684,126.0,10,0.1887
58,0.333,50,53,3,1,49.5,30.5,49.0,32.0,50,0.01,0.39,0.02,0.36,0.0,89.1,0.7814,52.5,5,0.05
59,0.333,121,127,6,2,117.0,70.0,125.0,69.0,122,0.0331,0.4215,0.0331,0.4298,0.0083,204.9,0.6938,120.0,7,0.0083
60,0.4,115,117,5,2,98.0,64.0,106.0,72.0,115,0.1478,0.4435,0.0783,0.3739,0.0,173.6,0.5096,113.0,7,0.0174
61,0.667,62,65,3,2,55.0,52.0,54.0,53.0,63,0.1129,0.1613,0.129,0.1452,0.0161,94.7,0.5278,63.0,4,0.0161
62,0.5,68,68,4,2,70.0,49.0,70.0,48.0,68,0.0294,0.2794,0.0294,0.2941,0.0,117.3,0.725,83.0,7,0.2206
63,0.4,114,115,5,2,105.0,77.0,99.0,71.0,114,0.0789,0.3246,0.1316,0.3772,0.0,184.3,0.6165,119.0,7,0.0439
64,0.667,73,75,3,2,45.5,36.0,56.0,50.0,73,0.3767,0.5068,0.2329,0.3151,0.0,77.3,0.0587,64.0,4,0.1233
65,0.667,70,75,3,2,72.5,53.0,74.5,55.0,70,0.0357,0.2429,0.0643,0.2143,0.0,126.6,0.8089,82.5,5,0.1786
67,0.4,82,85,5,2,82.0,58.0,78.0,56.0,82,0.0,0.2927,0.0488,0.3171,0.0,144.7,0.7642,85.0,6,0.0366
68,0.333,110,116,6,2,105.0,52.0,116.0,61.0,110,0.0455,0.5273,0.0545,0.4455,0.0,183.4,0.6671,105.0,6,0.0455
69,0.5,51,53,2,1,47.0,26.0,54.0,32.0,51,0.0784,0.4902,0.0588,0.3725,0.0,80.9,0.5871,50.0,3,0.0196
70,0.3,126,140,5,4,121.0,83.0,115.0,78.0,127,0.0397,0.3413,0.0873,0.381,0.0079,208.4,0.6539,132.0,6,0.0476
72,0.667,65,71,3,3,44.0,50.0,50.5,59.0,65,0.3231,0.2308,0.2231,0.0923,0.0,83.3,0.2809,61.0,4,0.0615
73,0.333,103,112,5,2,105.0,63.0,93.0,58.0,104,0.0194,0.3883,0.0971,0.4369,0.0097,180.8,0.7557,121.0,9,0.1748
74,0.333,47,51,3,1,45.0,27.5,45.0,25.0,48,0.0426,0.4149,0.0426,0.4681,0.0213,77.5,0.6489,55.0,8,0.1702
75,0.5,46,49,2,1,43.0,26.0,43.0,26.0,46,0.0652,0.4348,0.0652,0.4348,0.0,76.2,0.6559,47.0,4,0.0217
