tau,spike,spike_bg_height,episodes,eval_ceiling_rho,E1_frac_rho,E2_excess_rho,E2_excess_r,E2_null_shuffled_rho,E2_burst_control_rho,burst_episodes
40,49-51,5748,55,0.795,0.662,0.315,0.156,0.137,0.914,55
60,49-51,5748,55,0.0,0.0,0.255,0.168,-0.226,0.918,55
90,49-51,5748,55,0.0,0.0,0.361,0.302,-0.039,0.946,55
140,49-51,5748,55,0.0,0.0,0.372,0.325,-0.182,0.945,55
