parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
27,32,58,1,2460,2463,78,58,4.0,2.0,0.5,3.0,1.5,1.33333,0.01042,0.03226,0.00164,0.01613,73.75,0.82916,73.0,78.0,2.16049,1.83951,1.25148,1.1547,1.85143
32,33,58,1,2463,2454,58,87,91.0,54.0,0.59341,11.0,2.23687,22.75,0.23698,0.73387,0.0395,0.43548,9.3956,2.97934,1.0,12.0,11.28395,79.71605,23.73095,58.73611,8.06455
29,33,52,1,2461,2454,52,87,10.0,2.0,0.2,8.0,2.92193,2.5,0.02604,0.08403,0.00434,0.01681,55,4.51664,49.0,58.0,4.20988,5.79012,2.82197,3.04444,2.37537
30,33,78,1,2453,2454,79,87,20.0,14.0,0.7,6.0,1.55678,5.0,0.03906,0.11976,0.00822,0.08383,43.45,1.77412,39.0,45.0,5.01235,14.98765,6.69442,12.78979,3.99015
28,33,60,1,2463,2454,60,87,10.0,5.0,0.5,4.0,1.76096,2.5,0.02604,0.07576,0.00434,0.03788,74,1.26491,71.0,82.0,3.58025,6.41975,3.39283,2.14332,2.7931
32,35,58,1,2463,2460,58,84,19.0,3.0,0.15789,12.0,3.47135,4.75,0.04948,0.15323,0.00825,0.02419,57.15789,4.33181,50.0,60.0,8.28395,10.71605,3.7232,2.81374,2.29359
33,35,81,1,2454,2460,87,84,33.0,22.0,0.66667,11.0,2.01083,8.25,0.06445,0.1875,0.01357,0.125,43.21212,4.03588,31.0,45.0,7.90123,25.09877,8.92904,21.07937,4.17656
33,36,71,1,2454,2457,87,71,25.0,3.0,0.12,16.0,3.89366,6.25,0.04883,0.14205,0.01028,0.01705,64.32,5.3868,55.0,69.0,12.25926,12.74074,3.63884,2.32746,2.03927
35,36,68,1,2460,2457,84,71,97.0,65.0,0.6701,17.0,2.18266,24.25,0.18945,0.54802,0.03988,0.36723,19.36082,3.20498,8.0,21.0,15.87654,81.12346,20.35956,63.00193,6.10964
32,36,58,1,2463,2457,58,71,2.0,1.0,0.5,2.0,1.0,0.5,0.00521,0.01613,0.00087,0.00806,74.5,0.5,74.0,84.0,1.08642,0.91358,0.87649,0.8956,1.84091
37,38,30,1,4751,4858,137,50,44.0,17.0,0.38636,14.0,2.94191,14.66667,0.11458,0.33333,0.01637,0.12879,50.79545,3.56485,40.0,52.0,10.37037,33.62963,10.44299,19.61401,4.24286
38,39,0,0,4858,3121,50,100,31.0,6.0,0.19355,11.0,3.23213,6.2,0.08073,0.23485,0.01345,0.04545,67.6129,3.59818,63.0,76.0,12.77778,18.22222,5.09769,3.17662,2.42609
39,40,51,1,3121,3170,100,95,106.0,40.0,0.37736,21.0,3.37168,21.2,0.16562,0.49302,0.04141,0.18605,13.43396,5.03201,1.0,16.0,21.40741,84.59259,18.28312,39.93825,4.95156
40,41,0,0,3170,4846,95,62,23.0,3.0,0.13043,16.0,3.88205,7.66667,0.0599,0.17424,0.00898,0.02273,36.52174,5.9188,28.0,41.0,10.39506,12.60494,3.90955,2.55344,2.21259
39,41,0,0,3121,4846,100,62,65.0,27.0,0.41538,17.0,2.8879,21.66667,0.16927,0.49242,0.02539,0.20455,54.13846,4.39187,46.0,61.0,15.11111,49.88889,12.83381,27.03873,4.30147
41,42,0,0,4846,3730,62,100,36.0,5.0,0.13889,16.0,3.86105,9.0,0.09375,0.27273,0.01562,0.03788,63.72222,4.85118,56.0,68.0,16.20988,19.79012,4.9154,2.89983,2.22087
42,43,43,1,3730,3787,100,65,70.0,36.0,0.51429,14.0,2.60931,23.33333,0.18229,0.5303,0.02878,0.27273,12.6,4.77912,3.0,17.0,9.09877,60.90123,20.18993,40.96756,7.69335
41,43,0,0,4846,3787,62,65,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00758,0.00043,0.00758,74,0.0,74.0,88.0,0.74074,0.25926,0.30123,0.30123,1.35
42,44,33,1,3730,3797,100,53,21.0,4.0,0.19048,13.0,3.49923,7.0,0.05469,0.16279,0.00863,0.03101,24.04762,5.52463,15.0,29.0,9.19753,11.80247,3.89168,2.09967,2.28322
43,44,53,1,3787,3797,65,53,70.0,53.0,0.75714,10.0,1.53151,23.33333,0.18229,0.54264,0.03038,0.41085,7.74286,1.75406,2.0,10.0,6.54321,63.45679,24.80748,61.78697,10.69811
43,45,0,0,3787,3186,65,55,15.0,3.0,0.2,9.0,3.00624,5.0,0.03906,0.12097,0.00651,0.02419,41.66667,3.37968,36.0,43.0,7.83951,7.16049,2.5574,1.86383,1.91339
44,45,0,0,3797,3186,53,55,28.0,3.0,0.10714,17.0,3.94076,9.33333,0.07292,0.22581,0.01215,0.02419,26,5.50973,17.0,31.0,12.87654,15.12346,4.21455,2.49511,2.1745
42,45,0,0,3730,3186,100,55,23.0,3.0,0.13043,16.0,3.88205,7.66667,0.0599,0.18548,0.00946,0.02419,57.30435,6.08944,47.0,62.0,12.55556,10.44444,2.94759,2.49511,1.83186
45,46,0,0,3186,5367,55,118,46.0,7.0,0.15217,14.0,3.65007,9.2,0.11979,0.37097,0.01997,0.05645,63.08696,4.46643,55.0,68.0,20.08642,25.91358,5.78197,2.96353,2.2901
46,47,0,0,5367,764,118,86,49.0,5.0,0.10204,21.0,4.19871,12.25,0.0957,0.27374,0.01914,0.02793,37.69388,6.13855,27.0,42.0,26.01235,22.98765,4.50718,2.48611,1.88372
47,48,0,0,764,5776,86,135,45.0,6.0,0.13333,16.0,3.79766,11.25,0.08789,0.2514,0.0185,0.03352,36.06667,5.61506,28.0,42.0,19.65432,25.34568,5.71709,3.69711,2.28957
46,48,0,0,5367,5776,118,135,8.0,5.0,0.625,2.0,0.95443,2.0,0.01562,0.04188,0.00313,0.02618,73.625,0.48412,73.0,87.0,3.46914,4.53086,2.4326,1.72701,2.30605
