feature,auc,auc_abs,direction,median_true,median_false
obs_over_exp,0.794,0.794,high=true,2.9277,2.1745
poisson_z_max_cell,0.715,0.715,high=true,4.6364,2.7765
peak_frac,0.709,0.709,high=true,0.3636,0.1786
dist_entropy,0.321,0.679,low=true,2.7255,3.516
max_cell_over_min_miss,0.652,0.652,high=true,0.0379,0.0278
gap,0.348,0.652,low=true,44.0,60.0
poisson_z_total,0.652,0.652,high=true,5.4021,4.264
alpha_mean,0.358,0.642,low=true,39.6,54.1385
alpha_min,0.358,0.642,low=true,31.0,46.0
exp_mass,0.36,0.64,low=true,8.5802,12.7778
max_cell,0.615,0.615,high=true,5.0,4.0
alpha_sd,0.403,0.597,low=true,3.829,4.6964
excess_mass,0.592,0.592,high=true,14.9877,15.2099
n_dist,0.415,0.585,low=true,11.0,14.0
mass_over_min_miss_mass,0.564,0.564,high=true,0.1667,0.203
mass_over_evict_writes,0.564,0.564,high=true,0.0103,0.0121
mass_over_min_read_mass,0.562,0.562,high=true,0.0573,0.0723
mass,0.558,0.558,high=true,25.0,28.0
mass_per_child_batch,0.556,0.556,high=true,7.0,7.6667
