case,hist,d,eps,bias,modelled_bias,width_prior,aux_sample_frac,aux_smooth,aux_shift,n_ranges_total,median_candidates,median_bits,p25_candidates,p75_candidates,frac_unique,coverage,pair_median_bits,pair_probes_over_cap,single_median_bits_x2
C_public_aux,uniform,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,131.5,7.04,100,178,0.0,0.8375,10.83,0,14.08
C_public_aux,uniform,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,13989.5,13.77,9516,16499,0.0,0.675,24.31,0,27.54
C_public_aux,uniform,10000,0.125,0.0,0.0,1,0.02,2,0.1,50005000,1328378.5,20.34,1009251,1652650,0.0,0.75,,40,40.68
C_public_aux,census_age,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,86.0,6.43,34,122,0.0,0.8,10.11,0,12.85
C_public_aux,census_age,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,8802.0,13.1,5556,10942,0.0,0.875,22.92,0,26.21
C_public_aux,census_age,10000,0.125,0.0,0.0,1,0.02,2,0.1,50005000,935803.5,19.84,620854,1099381,0.0,0.7125,,40,39.67
C_public_aux,zipf,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,53.5,5.74,37,91,0.0,0.725,9.51,0,11.48
C_public_aux,zipf,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,6085.0,12.57,3032,9790,0.0,0.7375,22.24,0,25.14
C_public_aux,zipf,10000,0.125,0.0,0.0,1,0.02,2,0.1,50005000,492694.5,18.91,274925,904056,0.0,0.175,,40,37.82
C_public_aux,lognormal,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,41.5,5.38,37,52,0.0,0.7,8.74,0,10.75
C_public_aux,lognormal,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,3654.5,11.84,3291,5201,0.0,0.7875,21.84,0,23.67
C_public_aux,lognormal,10000,0.125,0.0,0.0,1,0.02,2,0.1,50005000,372411.0,18.51,292464,559427,0.0,0.6375,,40,37.01
D_unmodelled_bias,uniform,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,98.0,6.61,97,187,0.0,0.625,11.17,0,13.23
D_unmodelled_bias,uniform,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,11895.5,13.54,8694,15878,0.0,0.6,24.16,3,27.08
D_unmodelled_bias,uniform,10000,0.125,0.1,0.0,1,0.0,1,0.0,50005000,1250700.0,20.25,802361,1593036,0.0,0.5875,,40,40.51
D_unmodelled_bias,census_age,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,89.0,6.48,32,108,0.0,0.5375,9.37,0,12.95
D_unmodelled_bias,census_age,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,7944.5,12.96,4463,11109,0.0,0.5375,22.59,0,25.91
D_unmodelled_bias,census_age,10000,0.125,0.1,0.0,1,0.0,1,0.0,50005000,912111.0,19.8,644619,1085039,0.0,0.5,,40,39.6
D_unmodelled_bias,zipf,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,65.5,6.03,43,91,0.0,0.6125,9.24,0,12.07
D_unmodelled_bias,zipf,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,6263.0,12.61,3146,9052,0.0,0.5625,22.24,0,25.23
D_unmodelled_bias,zipf,10000,0.125,0.1,0.0,1,0.0,1,0.0,50005000,504318.5,18.94,327154,788052,0.0,0.525,,40,37.89
D_unmodelled_bias,lognormal,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,45.5,5.51,37,52,0.0,0.5875,8.8,0,11.02
D_unmodelled_bias,lognormal,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,3908.0,11.93,3478,4763,0.0,0.6125,22.03,0,23.86
D_unmodelled_bias,lognormal,10000,0.125,0.1,0.0,1,0.0,1,0.0,50005000,375612.5,18.52,339727,443924,0.0,0.525,,40,37.04
E_modelled_bias,uniform,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,99.0,6.63,97,187,0.0,0.95,10.04,0,13.26
E_modelled_bias,uniform,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,11430.0,13.48,8694,15453,0.0,0.9625,24.19,3,26.96
E_modelled_bias,uniform,10000,0.125,0.1,0.1,1,0.0,1,0.0,50005000,1318747.5,20.33,914090,1572051,0.0,0.9375,,40,40.66
E_modelled_bias,census_age,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,92.5,6.53,84,117,0.0,0.9375,9.93,0,13.06
E_modelled_bias,census_age,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,8264.5,13.01,6560,10891,0.0,0.9625,23.16,0,26.03
E_modelled_bias,census_age,10000,0.125,0.1,0.1,1,0.0,1,0.0,50005000,896568.5,19.77,723317,1119709,0.0,0.9625,,40,39.55
E_modelled_bias,zipf,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,76.5,6.26,51,96,0.0,0.975,9.88,0,12.51
E_modelled_bias,zipf,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,5575.0,12.44,3324,8422,0.0,0.9125,22.63,0,24.89
E_modelled_bias,zipf,10000,0.125,0.1,0.1,1,0.0,1,0.0,50005000,660597.0,19.33,358582,882712,0.0,0.9625,,40,38.67
E_modelled_bias,lognormal,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,44.0,5.46,36,50,0.0,0.9625,8.54,0,10.92
E_modelled_bias,lognormal,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,4315.0,12.08,3598,4931,0.0,0.925,22.18,0,24.15
E_modelled_bias,lognormal,10000,0.125,0.1,0.1,1,0.0,1,0.0,50005000,390278.5,18.57,333497,460146,0.0,0.95,,40,37.15
