parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
52,53,76.0,8.0,0.10526,21.0,4.15994,10.85714,0.29688,0.82609,0.03493,0.08696,38.19737,4.99479,29.0,43.0,37.12346,38.87654,6.38063,4.30549,2.04722
51,53,6.0,2.0,0.33333,4.0,1.9183,0.85714,0.00937,0.02459,0.00234,0.0082,72.5,0.95743,71.0,85.0,2.76543,3.23457,1.94507,1.38587,2.16964
53,54,23.0,3.0,0.13043,16.0,3.88205,11.5,0.08984,0.25843,0.00817,0.03371,35.91304,5.91176,25.0,40.0,12.76543,10.23457,2.86452,2.14332,1.80174
52,54,1.0,1.0,1.0,1.0,-0.0,0.5,0.00391,0.01124,0.00046,0.01124,74,0.0,74.0,89.0,0.71605,0.28395,0.33556,0.33556,1.39655
54,55,42.0,6.0,0.14286,18.0,3.93079,10.5,0.16406,0.47191,0.0193,0.06742,38.09524,5.14462,29.0,44.0,19.66667,22.33333,5.03603,2.85774,2.13559
53,55,7.0,2.0,0.28571,5.0,2.23593,1.75,0.01367,0.03684,0.00249,0.01053,71.71429,1.38505,70.0,85.0,3.81481,3.18519,1.63079,1.63299,1.83495
55,56,25.0,5.0,0.2,12.0,3.31908,12.5,0.09766,0.26316,0.01028,0.05263,34.56,3.90978,29.0,42.0,10.22222,14.77778,4.62207,2.85774,2.44565
56,57,46.0,5.0,0.1087,18.0,4.0237,9.2,0.17969,0.48421,0.02114,0.05263,38.73913,4.97137,30.0,44.0,23.30864,22.69136,4.70004,2.73737,1.97352
55,57,1.0,1.0,1.0,1.0,-0.0,0.2,0.00195,0.00526,0.00041,0.00526,73,0.0,73.0,87.0,0.7037,0.2963,0.35321,0.35321,1.42105
57,58,10.0,5.0,0.5,3.0,1.48548,2.0,0.01562,0.04505,0.00391,0.02252,73.1,0.7,72.0,86.0,3.49383,6.50617,3.48077,2.62502,2.86219
58,59,14.0,4.0,0.28571,10.0,3.09307,7.0,0.05469,0.16092,0.00547,0.04598,37.64286,6.07815,27.0,42.0,6.12346,7.87654,3.18301,1.97657,2.28629
59,60,57.0,6.0,0.10526,19.0,3.96152,9.5,0.22266,0.65517,0.02619,0.06897,36.31579,5.2253,27.0,42.0,23.44444,33.55556,6.93018,4.42635,2.43128
58,60,7.0,5.0,0.71429,2.0,0.86312,1.16667,0.01094,0.03153,0.00273,0.02252,73.42857,0.90351,72.0,85.0,1.98765,5.01235,3.55525,3.88083,3.52174
60,61,73.0,7.0,0.09589,22.0,4.28332,14.6,0.11406,0.30417,0.02716,0.02917,38.23288,5.97144,26.0,41.0,34.28395,38.71605,6.61219,3.83334,2.12928
61,62,28.0,4.0,0.14286,17.0,3.85182,14.0,0.10938,0.27451,0.01094,0.03922,33.67857,5.00038,26.0,41.0,13.81481,14.18519,3.81648,3.74152,2.02681
