feature,auc,auc_abs,direction,median_true,median_false
alpha_mean,0.07,0.93,low=true,39.3452,73.4643
gap,0.074,0.926,low=true,42.0,87.0
alpha_sd,0.916,0.916,high=true,3.8274,0.4714
alpha_min,0.084,0.916,low=true,28.0,73.0
dist_entropy,0.898,0.898,high=true,2.5808,0.8648
mass_per_child_batch,0.898,0.898,high=true,15.8,0.6667
n_dist,0.894,0.894,high=true,16.0,2.0
poisson_z_total,0.892,0.892,high=true,12.0848,1.1942
excess_mass,0.891,0.891,high=true,52.5679,1.6667
poisson_z_max_cell,0.891,0.891,high=true,29.8163,1.1882
mass_over_min_miss_mass,0.889,0.889,high=true,0.4572,0.0184
mass_over_min_read_mass,0.888,0.888,high=true,0.1484,0.0059
mass,0.887,0.887,high=true,68.0,3.0
exp_mass,0.881,0.881,high=true,14.4074,1.2593
mass_over_evict_writes,0.878,0.878,high=true,0.0268,0.0012
max_cell,0.872,0.872,high=true,29.0,2.0
max_cell_over_min_miss,0.864,0.864,high=true,0.1953,0.0104
obs_over_exp,0.859,0.859,high=true,3.7626,2.2384
peak_frac,0.239,0.761,low=true,0.4954,0.7083
