det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,1,49,2681,2721,90,49,45
0,2,22,2681,2749,90,52,90
1,2,21,2721,2749,49,52,45
2,3,30,2749,2771,52,47,45
3,4,15,2771,2803,47,67,45
4,5,29,2803,2841,67,95,45
5,6,32,2841,2904,95,70,45
6,7,23,2904,2951,70,94,45
7,8,32,2951,3013,94,112,45
8,9,55,3013,3070,112,68,45
8,10,27,3013,3098,112,114,90
9,10,40,3070,3098,68,114,45
10,11,55,3098,3157,114,113,45
10,12,9,3098,3203,114,46,90
11,12,46,3157,3203,113,46,45
11,13,43,3157,3227,113,45,90
12,13,22,3203,3227,46,45,45
16,17,58,3319,3374,113,144,45
17,18,53,3374,3449,144,53,45
17,19,35,3374,3483,144,121,90
18,19,19,3449,3483,53,121,45
19,20,52,3483,3547,121,52,45
19,21,30,3483,3574,121,48,90
20,21,25,3547,3574,52,48,45
21,22,18,3574,3604,48,119,45
22,23,55,3604,3668,119,127,45
23,24,51,3668,3744,127,139,45
24,25,81,3744,3802,139,114,45
24,26,12,3744,3871,139,86,90
25,26,45,3802,3871,114,86,45
26,27,31,3871,3926,86,141,45
27,28,53,3926,4014,141,139,45
28,29,55,4014,4098,139,113,45
28,30,6,4014,4147,139,103,90
29,30,64,4098,4147,113,103,45
29,31,6,4098,4205,113,133,90
30,31,45,4147,4205,103,133,45
31,32,80,4205,4258,133,117,45
31,33,17,4205,4321,133,55,90
32,33,54,4258,4321,117,55,45
32,34,28,4258,4347,117,61,90
32,35,3,4258,4372,117,59,135
33,34,29,4321,4347,55,61,45
33,35,4,4321,4372,55,59,90
34,35,36,4347,4372,61,59,45
35,36,19,4372,4412,59,93,45
36,37,31,4412,4474,93,125,45
37,38,59,4474,4540,125,111,45
37,39,9,4474,4590,125,152,90
38,39,61,4540,4590,111,152,45
39,40,78,4590,4664,152,83,45
39,41,33,4590,4709,152,116,90
40,41,38,4664,4709,83,116,45
41,42,51,4709,4774,116,142,45
42,43,47,4774,4869,142,147,45
43,44,66,4869,4950,147,74,45
43,45,16,4869,5000,147,125,90
44,45,24,4950,5000,74,125,45
45,46,64,5000,5061,125,133,45
46,47,63,5061,5131,133,122,45
46,48,8,5061,5186,133,127,90
47,48,67,5131,5186,122,127,45
47,49,6,5131,5247,122,76,90
48,49,66,5186,5247,127,76,45
48,50,29,5186,5284,127,153,90
49,50,39,5247,5284,76,153,45
50,51,42,5284,5347,153,42,45
50,52,63,5284,5374,153,85,90
51,52,15,5347,5374,42,85,45
52,54,14,5374,5445,85,67,90
54,55,35,5445,5477,67,56,45
54,56,3,5445,5509,67,90,90
55,56,24,5477,5509,56,90,45
56,57,41,5509,5558,90,151,45
57,58,61,5558,5643,151,61,45
57,59,29,5558,5680,151,110,90
58,59,24,5643,5680,61,110,45
59,60,57,5680,5729,110,57,45
59,61,31,5680,5759,110,150,90
60,61,27,5729,5759,57,150,45
61,62,64,5759,5845,150,130,45
62,63,66,5845,5909,130,85,45
62,64,31,5845,5944,130,88,90
63,64,50,5909,5944,85,88,45
66,67,18,6040,6081,59,69,45
67,68,33,6081,6117,69,146,45
68,69,57,6117,6206,146,73,45
68,70,16,6117,6247,146,58,90
69,70,32,6206,6247,73,58,45
69,71,3,6206,6276,73,87,90
70,71,29,6247,6276,58,87,45
71,72,51,6276,6312,87,80,45
71,73,16,6276,6347,87,128,90
72,73,45,6312,6347,80,128,45
73,74,64,6347,6411,128,119,45
74,75,38,6411,6492,119,134,45
75,76,76,6492,6550,134,155,45
76,77,79,6550,6626,155,151,45
77,78,64,6626,6713,151,111,45
78,79,47,6713,6777,111,91,45
