parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
74,75,38,1,6411,6492,119,134,84.0,39.0,0.46429,22.0,3.24625,14.0,0.13125,0.3907,0.03281,0.1814,39.34524,4.27477,28.0,41.0,23.88889,60.11111,12.29863,40.27315,3.51628
73,75,0,0,6347,6492,128,134,4.0,2.0,0.5,3.0,1.5,0.66667,0.00521,0.01646,0.00149,0.00823,73.25,0.82916,72.0,85.0,2.8642,1.1358,0.67112,0.40825,1.39655
75,76,76,1,6492,6550,134,155,130.0,61.0,0.46923,23.0,3.17752,18.57143,0.16927,0.53498,0.04836,0.25103,38.58462,4.38842,25.0,40.0,29.69136,100.30864,18.40871,60.98611,4.37838
74,76,0,0,6411,6550,119,155,4.0,2.0,0.5,2.0,1.0,0.57143,0.00625,0.0186,0.00156,0.0093,73.5,0.5,73.0,86.0,1.33333,2.66667,2.3094,1.63299,3.0
76,77,79,1,6550,6626,155,151,140.0,65.0,0.46429,21.0,3.03399,23.33333,0.18229,0.50909,0.04972,0.23636,37.71429,4.75137,26.0,39.0,32.4321,107.5679,18.8884,50.70425,4.31671
75,77,0,0,6492,6626,134,151,5.0,3.0,0.6,3.0,1.37095,0.83333,0.00651,0.02058,0.00186,0.01235,73,0.63246,72.0,85.0,3.24691,1.75309,0.9729,0.80373,1.53992
77,78,64,1,6626,6713,151,111,92.0,36.0,0.3913,17.0,2.60146,23.0,0.17969,0.55758,0.03423,0.21818,38.6413,3.57704,29.0,40.0,11.92593,80.07407,23.18707,38.97897,7.71429
76,78,0,0,6550,6713,155,111,5.0,4.0,0.8,2.0,0.72193,1.25,0.00977,0.0303,0.00178,0.02424,72.8,0.4,72.0,84.0,1.83951,3.16049,2.33026,1.69492,2.71812
77,79,0,0,6626,6777,151,91,4.0,3.0,0.75,2.0,0.81128,0.8,0.00625,0.01942,0.00149,0.01456,73.75,0.43301,73.0,85.0,1.97531,2.02469,1.44059,1.51556,2.025
78,79,47,1,6713,6777,111,91,80.0,46.0,0.575,17.0,2.61757,16.0,0.15625,0.48485,0.03289,0.27879,39.15,4.45561,29.0,42.0,15.98765,64.01235,16.00926,49.8348,5.00386
