tau,window,label,E1_frac_rho,E2_excess_rho
20,80-82,narrowed (leaks fakes),0.611,0.836
20,79-83,self-calibrated,0.844,0.836
20,78-84,widened,0.851,0.836
20,75-90,very wide,0.853,0.836
